@relation yeast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Alm numeric
@attribute Mit numeric
@attribute Erl numeric
@attribute Pox numeric
@attribute Vac numeric
@attribute Nuc numeric
@attribute Class {MIT,NUC,CYT,ME1,ME2,ME3,EXC,VAC,POX,ERL}

@data
0.52809,0.551724,0.329114,0.13,0,0,0.657534,0.22,MIT
0.359551,0.62069,0.341772,0.27,0,0,0.726027,0.22,MIT
0.595506,0.563218,0.35443,0.15,0,0,0.726027,0.22,MIT
0.52809,0.356322,0.455696,0.13,0,0,0.739726,0.22,NUC
0.348315,0.356322,0.341772,0.54,0,0,0.657534,0.22,MIT
0.449438,0.310345,0.443038,0.17,0,0.60241,0.671233,0.22,CYT
0.438202,0.471264,0.341772,0.65,0,0,0.726027,0.22,MIT
0.41573,0.367816,0.481013,0.2,0,0,0.794521,0.34,NUC
0.494382,0.425287,0.56962,0.36,0,0,0.671233,0.22,MIT
0.325843,0.298851,0.493671,0.15,0,0,0.794521,0.3,CYT
0.359551,0.298851,0.417722,0.21,0,0,0.726027,0.27,NUC
0.348315,0.275862,0.481013,0.2,0,0,0.712329,0.29,NUC
0.325843,0.333333,0.455696,0.35,0,0,0.726027,0.25,CYT
0.550562,0.310345,0.392405,0.46,0,0,0.726027,0.22,MIT
0.617978,0.482759,0.303797,0.19,0,0,0.630137,0.22,MIT
0.393258,0.356322,0.392405,0.11,0,0,0.684932,0.22,CYT
0.404494,0.298851,0.367089,0.11,0,0,0.671233,0.4,CYT
0.52809,0.390805,0.417722,0.11,0,0,0.69863,0.26,NUC
0.438202,0.241379,0.43038,0.21,0,0,0.671233,0.22,NUC
0.561798,0.54023,0.43038,0.21,0,0,0.684932,0.25,NUC
0.382022,0.310345,0.367089,0.16,0,0,0.684932,0.22,CYT
0.359551,0.356322,0.341772,0.22,0,0,0.69863,0.22,CYT
0.696629,0.574713,0.265823,0.3,0,0,0.671233,0.22,CYT
0.359551,0.45977,0.392405,0.13,0,0,0.753425,0.22,CYT
0.393258,0.45977,0.392405,0.15,0,0,0.794521,0.22,CYT
0.449438,0.436782,0.392405,0.51,0,0,0.739726,0.22,MIT
0.516854,0.390805,0.493671,0.18,0,0,0.69863,0.22,CYT
0.58427,0.62069,0.455696,0.24,0,0,0.671233,0.22,MIT
0.47191,0.471264,0.278481,0.1,0,0,0.780822,0.32,NUC
0.449438,0.436782,0.278481,0.87,0,0,0.712329,0.22,MIT
0.303371,0.551724,0.506329,0.12,0,0,0.726027,0.47,CYT
0.247191,0.482759,0.379747,0.43,0,0,0.69863,0.22,NUC
0.752809,0.701149,0.265823,0.26,0,0,0.589041,0.22,ME1
0.707865,0.62069,0.329114,0.34,0,0,0.575342,0.22,EXC
0.325843,0.367816,0.455696,0.18,0,0,0.767123,0.26,CYT
0.539326,0.45977,0.278481,0.44,0,0,0.684932,0.22,MIT
0.516854,0.45977,0.405063,0.34,0,0,0.726027,0.22,MIT
0.842697,0.632184,0.227848,0.24,0,0,0.739726,0.22,ME2
0.764045,0.505747,0.253165,0.28,0,0,0.808219,0.22,ME2
0.337079,0.471264,0.227848,0.2,0,0,0.69863,0.22,ME3
0.292135,0.264368,0.443038,0.18,0,0,0.657534,0.26,VAC
0.47191,0.206897,0.468354,0.39,0,0,0.643836,0.37,NUC
0.707865,0.712644,0.468354,0.47,0,0,0.547945,0.35,ME2
0.707865,0.505747,0.379747,0.28,0,0,0.794521,0.22,VAC
0.348315,0.126437,0.164557,0.16,0,0,0.684932,0.22,ME3
0.41573,0.298851,0.379747,0.21,0,0,0.712329,0.28,CYT
0.337079,0.45977,0.303797,0.14,0,0,0.712329,0.66,ME3
0.382022,0.37931,0.43038,0.43,0,0,0.753425,0.38,NUC
0.595506,0.528736,0.443038,0.23,0,0,0.630137,0.22,CYT
0.595506,0.494253,0.443038,0.22,0,0,0.616438,0.22,CYT
0.617978,0.563218,0.35443,0.1,0,0,0.671233,0.22,CYT
0.47191,0.356322,0.379747,0.33,0,0,0.753425,0.22,CYT
0.303371,0.413793,0.405063,0.19,0,0,0.684932,0.22,CYT
0.382022,0.517241,0.341772,0.67,0,0,0.712329,0.22,MIT
0.359551,0.252874,0.392405,0.52,0,0,0.739726,0.22,MIT
0.292135,0.218391,0.329114,0.18,0,0,0.616438,0.25,NUC
0.41573,0.344828,0.379747,0.32,0,0,0.712329,0.43,NUC
0.337079,0.37931,0.481013,0.19,0,0,0.794521,0.27,NUC
0.483146,0.402299,0.291139,0.08,0,0,0.712329,0.27,CYT
0.550562,0.390805,0.303797,0.22,0,0,0.69863,0.29,CYT
0.258427,0.37931,0.455696,0.09,0,0,0.753425,0.22,CYT
0.41573,0.471264,0.43038,0.12,0,0,0.69863,0.22,CYT
0.404494,0.298851,0.481013,0.15,0,0,0.780822,0.22,CYT
0.786517,0.827586,0.329114,0.37,0,0,0.767123,0.22,EXC
0.550562,0.425287,0.291139,0.61,0,0,0.643836,0.22,MIT
0.382022,0.482759,0.417722,0.66,0,0,0.643836,0.22,MIT
0.393258,0.413793,0.468354,0.23,0,0,0.60274,0.22,MIT
0.426966,0.333333,0.443038,0.55,0,0,0.575342,0.25,MIT
0.58427,0.45977,0.417722,0.4,0,0,0.684932,0.22,MIT
0.438202,0.471264,0.405063,0.54,0,0,0.69863,0.27,MIT
0.41573,0.367816,0.43038,0.5,0,0,0.726027,0.22,MIT
0.438202,0.517241,0.316456,0.46,0,0,0.630137,0.22,MIT
0.449438,0.471264,0.493671,0.57,0,0,0.794521,0.22,MIT
0.483146,0.448276,0.531646,0.37,0,0,0.630137,0.22,MIT
0.629213,0.563218,0.240506,0.43,0,1,0.684932,0.22,MIT
0.191011,0.517241,0,0.13,0,0,0.69863,0.22,ME3
0.314607,0.356322,0.177215,0.16,0,0,0.753425,0.22,ME3
0.775281,0.574713,0.303797,0.29,0,0,0.69863,0.22,EXC
0.438202,0.448276,0.481013,0.3,0,0,0.69863,0.35,NUC
0.348315,0.390805,0.392405,0.41,0,0,0.726027,0.32,CYT
0.393258,0.287356,0.329114,0.22,0,0,0.712329,0.27,MIT
0.325843,0.367816,0.443038,0.2,0,0,0.616438,0.22,CYT
