@relation winequality-red-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {0,1,2,3,4,5,6,7,8,9,10}

@data
0.247788,0.39726,0,0.068493,0.106845,0.140845,0.09894,0.567548,0.606299,0.137725,0.153846,5
0.283186,0.520548,0,0.116438,0.143573,0.338028,0.215548,0.494126,0.362205,0.209581,0.215385,5
0.283186,0.438356,0.04,0.09589,0.133556,0.197183,0.169611,0.508811,0.409449,0.191617,0.215385,5
0.584071,0.109589,0.56,0.068493,0.105175,0.225352,0.190813,0.582232,0.330709,0.149701,0.215385,6
0.247788,0.39726,0,0.068493,0.106845,0.140845,0.09894,0.567548,0.606299,0.137725,0.153846,5
0.247788,0.369863,0,0.061644,0.105175,0.169014,0.120141,0.567548,0.606299,0.137725,0.153846,5
0.292035,0.328767,0.06,0.047945,0.095159,0.197183,0.187279,0.464758,0.440945,0.077844,0.153846,5
0.238938,0.363014,0,0.020548,0.088481,0.197183,0.053004,0.332599,0.511811,0.083832,0.246154,7
0.283186,0.315068,0.02,0.075342,0.101836,0.112676,0.042403,0.494126,0.488189,0.143713,0.169231,7
0.256637,0.260274,0.36,0.356164,0.098497,0.225352,0.339223,0.567548,0.480315,0.281437,0.323077,5
0.185841,0.315068,0.08,0.061644,0.141903,0.197183,0.208481,0.428047,0.425197,0.125749,0.123077,5
0.256637,0.260274,0.36,0.356164,0.098497,0.225352,0.339223,0.567548,0.480315,0.281437,0.323077,5
0.088496,0.339041,0,0.047945,0.128548,0.211268,0.187279,0.310573,0.661417,0.113772,0.230769,5
0.283186,0.335616,0.29,0.047945,0.170284,0.112676,0.081272,0.538179,0.409449,0.736527,0.107692,5
0.380531,0.342466,0.18,0.19863,0.27379,0.71831,0.491166,0.626285,0.330709,0.329341,0.123077,5
0.380531,0.342466,0.19,0.205479,0.263773,0.704225,0.501767,0.626285,0.338583,0.359281,0.123077,5
0.345133,0.109589,0.56,0.061644,0.133556,0.478873,0.342756,0.501468,0.440945,0.251497,0.323077,7
0.309735,0.30137,0.28,0.054795,0.594324,0.211268,0.176678,0.494126,0.291339,0.568862,0.138462,5
0.247788,0.321918,0.08,0.239726,0.123539,0.070423,0.081272,0.538179,0.503937,0.101796,0.092308,4
0.292035,0.136986,0.51,0.061644,0.549249,0.225352,0.176678,0.501468,0.23622,0.449102,0.123077,6
0.380531,0.068493,0.48,0.061644,0.108514,0.394366,0.190813,0.494126,0.511811,0.11976,0.153846,6
0.265487,0.184932,0.31,0.09589,0.116861,0.309859,0.229682,0.596916,0.614173,0.191617,0.2,5
0.292035,0.212329,0.21,0.047945,0.156928,0.126761,0.109541,0.479442,0.338583,0.347305,0.169231,5
0.345133,0.253425,0.11,0.09589,0.1202,0.112676,0.215548,0.494126,0.338583,0.11976,0.153846,5
0.20354,0.191781,0.14,0.10274,0.12187,0.28169,0.120141,0.494126,0.543307,0.179641,0.2,6
0.150442,0.184932,0.16,0.034247,0.113523,0.140845,0.060071,0.398678,0.472441,0.137725,0.138462,5
0.265487,0.19863,0.24,0.061644,0.113523,0.042254,0.017668,0.450073,0.425197,0.155689,0.169231,5
0.292035,0.212329,0.21,0.047945,0.156928,0.126761,0.109541,0.479442,0.338583,0.347305,0.169231,5
0.221239,0.40411,0,0.068493,0.113523,0.183099,0.102473,0.523495,0.574803,0.131737,0.153846,5
0.283186,0.359589,0,0.075342,0.116861,0.098592,0.035336,0.464758,0.503937,0.155689,0.215385,6
0.185841,0.380137,0.07,0.10274,0.128548,0.225352,0.268551,0.420705,0.480315,0.125749,0.261538,5
0.20354,0.386986,0,0.109589,0.155259,0.295775,0.109541,0.479442,0.566929,0.143713,0.338462,6
0.327434,0.366438,0.12,0.09589,0.118531,0.197183,0.378092,0.479442,0.338583,0.197605,0.215385,5
0.20354,0.332192,0.12,0.671233,0.101836,0.549296,0.272085,0.67768,0.559055,0.113772,0.153846,6
0.053097,0.136986,0.25,0.061644,0.15192,0.169014,0.155477,0.413363,0.503937,0.131737,0.123077,5
0.283186,0.359589,0,0.315068,0.123539,0.056338,0.042403,0.626285,0.519685,0.131737,0.184615,6
0.283186,0.328767,0.14,0.10274,0.123539,0.028169,0.031802,0.545521,0.535433,0.161677,0.369231,6
0.309735,0.178082,0.28,0.082192,0.09015,0.169014,0.084806,0.494126,0.385827,0.239521,0.2,7
0.097345,0.691781,0.09,0.041096,0.267112,0.084507,0.045936,0.288546,0.598425,0.08982,0.215385,4
0.238938,0.226027,0.36,0.342466,0.103506,0.15493,0.286219,0.567548,0.464567,0.299401,0.323077,5
0.238938,0.226027,0.36,0.342466,0.103506,0.15493,0.286219,0.567548,0.464567,0.299401,0.323077,5
0.371681,0.335616,0.3,0.130137,0.126878,0.225352,0.141343,0.552863,0.409449,0.107784,0.138462,4
0.256637,0.253425,0.2,0.116438,0.534224,0.098592,0.028269,0.494126,0.370079,0.341317,0.323077,6
0.309735,0.369863,0.22,0.089041,0.095159,0.112676,0.060071,0.494126,0.440945,0.520958,0.292308,5
0.19469,0.376712,0.02,0.061644,0.063439,0.056338,0.017668,0.450073,0.582677,0.113772,0.169231,5
0,0.273973,0.15,0.082192,0.070117,0.098592,0.208481,0.244493,0.913386,0.137725,0.723077,4
0.274336,0.558219,0.43,0.089041,0.170284,0.295775,0.381625,0.508811,0.401575,0.239521,0.123077,5
0.362832,0.116438,0.52,0.047945,0.168614,0.15493,0.109541,0.501468,0.401575,0.149701,0.169231,5
0.159292,0.191781,0.23,0.047945,0.09015,0.056338,0.021201,0.420705,0.472441,0.137725,0.123077,5
0.088496,0.130137,0.37,0.034247,0.103506,0.15493,0.318021,0.391336,0.456693,0.149701,0.123077,5
0.371681,0.369863,0.26,0.054795,0.103506,0.042254,0.060071,0.516153,0.322835,0.245509,0.123077,5
0.176991,0.273973,0.04,0.089041,0.095159,0.098592,0.031802,0.406021,0.519685,0.179641,0.153846,6
0.176991,0.260274,0.04,0.082192,0.093489,0.070423,0.028269,0.398678,0.511811,0.185629,0.153846,6
0.353982,0.178082,0.36,0.143836,0.115192,0.408451,0.399293,0.508811,0.362205,0.137725,0.153846,5
0.265487,0.267123,0.15,0.130137,0.163606,0.450704,0.236749,0.398678,0.338583,0.179641,0.276923,6
0.274336,0.342466,0.04,0.19863,0.1202,0.338028,0.137809,0.567548,0.472441,0.11976,0.169231,5
0.495575,0.205479,0.57,0.171233,0.096828,0.042254,0.014134,0.516153,0.23622,0.179641,0.184615,5
0.256637,0.349315,0.12,0.287671,0.165275,0.690141,0.367491,0.604258,0.409449,0.263473,0.153846,5
0.283186,0.321918,0.18,0.09589,0.106845,0.225352,0.169611,0.545521,0.543307,0.155689,0.246154,5
0.238938,0.184932,0.31,0.10274,0.103506,0.112676,0.141343,0.450073,0.527559,0.125749,0.153846,6
0.371681,0.191781,0.4,0.089041,0.111853,0.253521,0.162544,0.582232,0.551181,0.185629,0.123077,5
0.274336,0.390411,0.49,0.061644,0.171953,0.267606,0.374558,0.494126,0.370079,0.227545,0.138462,5
0.256637,0.273973,0.16,0.068493,0.12187,0.15493,0.102473,0.494126,0.503937,0.173653,0.169231,7
0.212389,0.421233,0.05,0.075342,0.115192,0.169014,0.169611,0.479442,0.511811,0.143713,0.215385,5
0.230088,0.414384,0.05,0.256849,0.123539,0.042254,0.017668,0.450073,0.527559,0.035928,0.384615,5
0.230088,0.414384,0.05,0.256849,0.123539,0.042254,0.017668,0.450073,0.527559,0.035928,0.384615,5
0.256637,0.273973,0.11,0.041096,0.111853,0.140845,0.116608,0.494126,0.535433,0.149701,0.184615,5
0.176991,0.400685,0.07,0.047945,0.106845,0.070423,0.031802,0.450073,0.551181,0.149701,0.353846,5
0.415929,0.136986,0.57,0.075342,0.103506,0.366197,0.208481,0.501468,0.425197,0.275449,0.353846,5
0.300885,0.400685,0.05,0.068493,0.103506,0.098592,0.045936,0.450073,0.472441,0.371257,0.323077,6
0.274336,0.349315,0.08,0.068493,0.106845,0.197183,0.074205,0.486784,0.456693,0.125749,0.169231,6
0.274336,0.376712,0.23,0.082192,0.126878,0.225352,0.318021,0.450073,0.456693,0.08982,0.169231,5
0.274336,0.390411,0.22,0.068493,0.1202,0.239437,0.310954,0.442731,0.448819,0.08982,0.169231,5
0.327434,0.380137,0.26,0.082192,0.1202,0.140845,0.130742,0.552863,0.448819,0.11976,0.123077,4
0.451327,0.136986,0.54,0.109589,0.136895,0.380282,0.272085,0.611601,0.425197,0.293413,0.184615,5
0.371681,0.19863,0.64,0.089041,0.135225,0.112676,0.127208,0.626285,0.629921,0.197605,0.323077,5
0.371681,0.19863,0.64,0.089041,0.135225,0.112676,0.127208,0.626285,0.629921,0.197605,0.323077,5
0.19469,0.455479,0,0.10274,0.153589,0.183099,0.084806,0.479442,0.614173,0.131737,0.353846,6
0.185841,0.431507,0.12,0.075342,0.123539,0.15493,0.261484,0.420705,0.503937,0.113772,0.261538,5
