@relation titanic-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Class numeric
@attribute Age numeric
@attribute Sex numeric
@attribute Survived {-1.0,1.0}

@data
0,0,1,-1.0
0.334039,0,0,1.0
0.334039,0,0,1.0
1,0,1,1.0
0.66716,0,1,-1.0
1,0,1,-1.0
0.66716,0,0,-1.0
0.66716,0,1,-1.0
0,1,1,1.0
1,0,1,1.0
0,0,1,-1.0
0.66716,0,0,-1.0
1,0,1,-1.0
0.66716,0,1,1.0
0.66716,1,1,-1.0
1,0,0,1.0
0.334039,0,0,1.0
0.334039,0,1,-1.0
0.66716,0,1,-1.0
1,0,1,-1.0
1,0,1,-1.0
0,0,0,1.0
0.334039,0,0,1.0
1,0,1,1.0
1,0,1,-1.0
0.66716,1,0,-1.0
0.66716,0,1,-1.0
0.66716,0,1,-1.0
1,0,1,-1.0
0.66716,0,1,1.0
0.334039,0,0,1.0
0.334039,0,1,-1.0
1,0,1,-1.0
0.66716,0,0,1.0
0.334039,0,1,-1.0
0.334039,0,0,1.0
1,0,1,-1.0
1,0,1,-1.0
1,0,1,-1.0
0.334039,0,1,-1.0
1,0,1,-1.0
1,0,1,-1.0
0.334039,0,0,1.0
0.66716,0,1,-1.0
1,0,1,1.0
1,0,1,-1.0
0.66716,0,1,-1.0
1,0,1,-1.0
1,0,1,1.0
0.66716,0,1,-1.0
0,0,0,1.0
1,0,1,-1.0
0.66716,0,1,-1.0
0.66716,0,1,-1.0
1,0,1,-1.0
1,0,1,-1.0
0.66716,0,0,1.0
0.66716,0,1,-1.0
0.334039,0,0,-1.0
0.66716,0,1,-1.0
0.66716,0,1,-1.0
0.66716,1,1,1.0
0.66716,0,1,-1.0
0.66716,0,1,-1.0
0.66716,0,1,-1.0
0,0,1,-1.0
0.66716,0,0,1.0
0.334039,0,1,-1.0
1,0,1,-1.0
0.66716,0,1,-1.0
0,0,1,1.0
0,0,1,-1.0
0.66716,0,0,1.0
1,0,1,-1.0
0.66716,0,0,-1.0
0.66716,0,1,-1.0
0,0,0,1.0
0.66716,0,1,-1.0
1,0,1,1.0
0.66716,0,1,-1.0
0,0,0,1.0
0.66716,0,1,-1.0
1,0,1,-1.0
1,0,1,-1.0
1,0,1,-1.0
1,0,1,-1.0
0.66716,0,1,1.0
1,0,0,1.0
0.66716,0,0,1.0
1,0,1,1.0
1,0,1,-1.0
0,0,1,-1.0
1,0,1,-1.0
0,0,0,1.0
0.334039,0,0,1.0
1,0,1,1.0
0.334039,0,1,-1.0
1,0,1,-1.0
1,0,1,-1.0
1,0,1,-1.0
0.66716,0,1,-1.0
0.66716,0,1,-1.0
0.66716,1,1,-1.0
0.66716,0,1,1.0
1,0,1,-1.0
1,0,1,-1.0
0.66716,0,1,-1.0
0,0,1,-1.0
0,0,1,1.0
0.66716,0,0,-1.0
0,0,0,1.0
0.66716,0,1,-1.0
