@relation segment-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Short-line-density-5 numeric
@attribute Short-line-density-2 numeric
@attribute Vedge-mean numeric
@attribute Vegde-sd numeric
@attribute Hedge-mean numeric
@attribute Hedge-sd numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
0.857708,0.695833,0,0.333333,0,0.028517,0.000552,0.024845,0.000393,0.415698,0.382496,0.498527,0.359314,0.472015,0.627059,0.148008,0.498527,0.318996,0.168487,6
0.442688,0.495833,0,0,0,0.009506,0.000253,0.007453,0.000263,0.006197,0,0.016937,0.000779,0.789179,0.184706,0.538899,0.016937,1,0.154604,3
0.12253,0.675,0,0,0,0.058935,0.001796,0.201242,0.004869,0.303899,0.288493,0.350515,0.268901,0.630597,0.427059,0.309298,0.350515,0.266914,0.175487,6
0.237154,0.775,0,0,0,0.04943,0.001528,0.058385,0.001389,0.345727,0.322528,0.407953,0.301637,0.563433,0.511765,0.240987,0.407953,0.302925,0.171556,6
0.58498,0.725,0,0,0,0.053232,0.001077,0.068323,0.001389,0.343919,0.330632,0.394698,0.302416,0.632463,0.456471,0.259962,0.394698,0.275889,0.183225,6
0.774704,0.908333,0,0,0,0.047529,0.001587,0.026087,0.000409,0.123677,0.102917,0.118557,0.14887,0.651119,0.136471,0.757116,0.140648,0.335717,0.956204,7
0.110672,0.416667,0,0,0,0.013308,0.000243,0.013665,0.00011,0.037697,0.050243,0.041973,0.021044,0.908582,0.161176,0.455408,0.045655,0.564153,0.360322,1
0,0.291667,0,0,0,0.41635,0.269689,0.206211,0.148134,0.148722,0.102107,0.202504,0.136399,0.464552,0.424706,0.481973,0.202504,0.595282,0.101696,3
0.268775,0.308333,0,0.333333,0,0.106464,0.008276,0.088199,0.00681,0.149497,0.149109,0.186303,0.110678,0.783582,0.343529,0.288425,0.186303,0.437404,0.232395,1
0.596838,0.3,0,0,0,0.152091,0.001339,0.021118,0.000491,0.18487,0.170178,0.220177,0.161341,0.673507,0.344706,0.398482,0.220177,0.307415,0.164678,4
0.976285,0.591667,0,0,0,0.009506,0.000063,0.002484,0.000021,0.002582,0,0.007364,0,0.815299,0.155294,0.559772,0.007364,0.888889,0.159449,5
0.865613,0.870833,0,0.333333,0,0.077947,0.001139,0.050932,0.002995,0.044926,0.041329,0.035346,0.058457,0.794776,0.096471,0.675522,0.055228,0.427354,0.844189,7
0.814229,0.433333,0,0,0,0.036122,0.000332,0.003727,0.000024,0.008521,0.003241,0.019146,0.002338,0.794776,0.184706,0.533207,0.019146,0.933333,0.164293,5
0.019763,0.166667,0,0,0,0.057034,0.002017,0.036025,0.00152,0.136587,0.136953,0.170103,0.100546,0.79291,0.324706,0.309298,0.170103,0.442861,0.2288,1
0.798419,0.7125,0,0,0,0.127376,0.002598,0.080745,0.00123,0.382907,0.360616,0.451399,0.331255,0.557836,0.550588,0.184061,0.451399,0.306722,0.178595,6
0.956522,0.454167,0,0,0,0.152091,0.004396,0.034783,0.001323,0.333592,0.32658,0.373343,0.29774,0.679104,0.401176,0.301708,0.373343,0.245321,0.190281,4
0.573123,0.358333,0,0,0,0.346008,0.004636,0.013665,0.000414,0.334366,0.335494,0.360088,0.305534,0.735075,0.334118,0.352941,0.360088,0.197115,0.202033,4
0.72332,0.558333,0,0,0,0.024715,0.000617,0.004969,0.000196,0.003873,0.002431,0.0081,0.000779,0.822761,0.152941,0.555977,0.0081,0.527778,0.188567,5
0.699605,0.4875,0,0,0,0.015209,0.000344,0.019876,0.00015,0.041312,0.057536,0.04271,0.024162,0.932836,0.148235,0.451613,0.052283,0.563713,0.389963,1
0.324111,0.070833,0,0,0,0.013308,0.000137,0.019876,0.000329,0.787503,0.725284,0.868925,0.759938,0.152985,0.708235,0.341556,0.868925,0.241511,0.110178,2
0.494071,0.941667,0,0,0,0.032319,0.000243,0.02236,0.000353,0.040279,0.030794,0.027982,0.062354,0.755597,0.082353,0.73814,0.05891,0.553812,0.863136,7
0.885375,0.195833,0,0,0,0.011407,0.000425,0.009938,0.000248,0.058094,0.040519,0.09352,0.037412,0.69403,0.315294,0.425047,0.09352,0.622222,0.163785,5
0.051383,0.454167,0,0,0,0.011407,0.000134,0.009938,0.000214,0.011103,0,0.025773,0.006235,0.753731,0.204706,0.542695,0.025773,1,0.122293,3
0.01581,0.829167,0,0,0.5,0.074145,0.001684,0.099379,0.001885,0.357604,0.331442,0.426362,0.309431,0.539179,0.545882,0.210626,0.426362,0.317566,0.171788,6
