@relation winequality-white-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {0,1,2,3,4,5,6,7,8,9,10}

@data
0.307692,0.186275,0.216867,0.308282,0.106825,0.149826,0.37355,0.267785,0.254545,0.267442,0.129032,6
0.240385,0.215686,0.204819,0.015337,0.118694,0.041812,0.285383,0.132832,0.527273,0.313953,0.241935,6
0.413462,0.196078,0.240964,0.096626,0.121662,0.097561,0.204176,0.154039,0.490909,0.255814,0.33871,6
0.326923,0.147059,0.192771,0.121166,0.145401,0.156794,0.410673,0.163678,0.427273,0.209302,0.306452,6
0.326923,0.147059,0.192771,0.121166,0.145401,0.156794,0.410673,0.163678,0.427273,0.209302,0.306452,6
0.413462,0.196078,0.240964,0.096626,0.121662,0.097561,0.204176,0.154039,0.490909,0.255814,0.33871,6
0.230769,0.235294,0.096386,0.09816,0.106825,0.097561,0.294664,0.150183,0.418182,0.290698,0.258065,6
0.307692,0.186275,0.216867,0.308282,0.106825,0.149826,0.37355,0.267785,0.254545,0.267442,0.129032,6
0.240385,0.215686,0.204819,0.015337,0.118694,0.041812,0.285383,0.132832,0.527273,0.313953,0.241935,6
0.413462,0.137255,0.259036,0.013804,0.103858,0.090592,0.278422,0.128976,0.454545,0.267442,0.483871,6
0.413462,0.186275,0.246988,0.013037,0.071217,0.031359,0.12529,0.071139,0.245455,0.395349,0.645161,5
0.461538,0.147059,0.240964,0.055215,0.077151,0.052265,0.232019,0.146327,0.381818,0.360465,0.274194,5
0.394231,0.098039,0.222892,0.009202,0.091988,0.04878,0.153132,0.094274,0.418182,0.476744,0.451613,5
0.269231,0.078431,0.240964,0.013804,0.103858,0.160279,0.310905,0.078851,0.745455,0.348837,0.709677,7
0.432692,0.333333,0.373494,0.286043,0.091988,0.135889,0.37819,0.252362,0.236364,0.523256,0.274194,5
0.269231,0.088235,0.228916,0.013804,0.068249,0.090592,0.238979,0.082707,0.481818,0.383721,0.548387,7
0.240385,0.392157,0.024096,0.007669,0.109792,0.097561,0.208817,0.109697,0.472727,0.162791,0.258065,6
0.230769,0.568627,0.289157,0.009202,0.059347,0.094077,0.153132,0.040293,0.554545,0.197674,0.774194,8
0.346154,0.254902,0.253012,0.007669,0.071217,0.052265,0.37587,0.08849,0.363636,0.360465,0.532258,6
0.259615,0.22549,0.084337,0.105828,0.103858,0.111498,0.287703,0.161751,0.454545,0.325581,0.241935,5
0.230769,0.568627,0.289157,0.009202,0.059347,0.094077,0.153132,0.040293,0.554545,0.197674,0.774194,8
0.25,0.22549,0.228916,0.035276,0.086053,0.059233,0.215777,0.078851,0.409091,0.151163,0.483871,7
0.288462,0.176471,0.253012,0.016871,0.118694,0.135889,0.262181,0.113553,0.681818,0.302326,0.403226,8
0.365385,0.578431,0.084337,0.013804,0.192878,0.080139,0.36891,0.127048,0.3,0.337209,0.209677,5
0.269231,0.186275,0.246988,0.010736,0.127596,0.04878,0.308585,0.154039,0.636364,0.290698,0.322581,6
0.307692,0.166667,0.192771,0.128834,0.109792,0.188153,0.547564,0.161751,0.481818,0.325581,0.387097,6
