@relation banana-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute At1 numeric
@attribute At2 numeric
@attribute Class {-1.0,1.0}

@data
0.716949,0.407885,-1.0
0.266102,0.222222,1.0
0.345763,0.557348,-1.0
0.368475,0.499462,1.0
0.338983,0.506631,1.0
0.424746,0.445108,1.0
0.833898,0.509319,-1.0
0.311864,0.377061,1.0
0.811864,0.645161,1.0
0.442034,0.341398,1.0
0.827119,0.346057,-1.0
0.503051,0.283513,-1.0
0.537441,0.774194,1.0
0.432034,0.368817,1.0
0.350847,0.539247,-1.0
0.393559,0.241935,-1.0
0.237288,0.420054,1.0
0.737288,0.645161,1.0
0.646441,0.605556,-1.0
0.598983,0.784946,-1.0
0.352542,0.184588,-1.0
0.377458,0.517204,1.0
0.720339,0.346237,1.0
0.422881,0.311649,1.0
0.39322,0.493548,1.0
0.376102,0.280466,1.0
0.692542,0.123656,1.0
0.740678,0.552151,-1.0
0.680508,0.58871,-1.0
0.407288,0.197133,-1.0
0.818644,0.601075,1.0
0.723729,0.36828,1.0
0.950847,0.684588,1.0
0.813559,0.42043,-1.0
0.569661,0.322401,1.0
0.713559,0.540502,-1.0
0.744068,0.463441,-1.0
0.254237,0.306452,1.0
0.592881,0.440376,1.0
0.715254,0.693548,-1.0
0.653051,0.593369,-1.0
0.284746,0.62724,-1.0
0.39661,0.27043,-1.0
0.720339,0.603584,-1.0
0.715254,0.500896,-1.0
0.435254,0.188172,-1.0
0.284746,0.58853,-1.0
0.525258,0.350538,1.0
0.161017,0.172043,1.0
0.301695,0.65233,-1.0
0.530678,0.225806,-1.0
0.531915,0.583513,-1.0
0.166102,0.462903,-1.0
0.612203,0.689964,-1.0
0.528542,0.718638,-1.0
0.590847,0.319713,1.0
0.614576,0.593369,-1.0
0.577119,0.395699,1.0
0.502881,0.236559,-1.0
0.612881,0.693548,-1.0
0.524856,0.43043,1.0
0.464068,0.340502,1.0
0.511847,0.207885,-1.0
0.498475,0.213262,-1.0
0.65678,0.436935,1.0
0.249153,0.534588,-1.0
0.518407,0.247312,-1.0
0.475424,0.231183,-1.0
0.749153,0.698925,1.0
0.708475,0.182796,1.0
0.485932,0.198925,-1.0
0.517949,0.236559,-1.0
0.730508,0.630824,-1.0
0.240678,0.202509,1.0
0.857627,0.289964,-1.0
0.437627,0.300179,1.0
0.625932,0.408961,1.0
0.468983,0.390143,1.0
0.502712,0.227599,-1.0
0.449322,0.256093,-1.0
0.557797,0.428746,1.0
0.661356,0.555197,-1.0
0.674237,0.574731,-1.0
0.527763,0.443297,1.0
0.594068,0.249104,-1.0
0.471525,0.820789,1.0
0.653729,0.383871,1.0
0.732203,0.213262,1.0
0.749153,0.72043,1.0
0.569492,0.437115,1.0
0.237288,0.09319,1.0
0.607627,0.377957,1.0
0.435763,0.285125,-1.0
0.186441,0.526703,-1.0
0.754237,0.297133,1.0
0.349153,0.54552,-1.0
0.59678,0.189964,-1.0
0.513847,0.222222,-1.0
0.488305,0.490143,1.0
0.737288,0.182796,1.0
0.222034,0.360573,1.0
0.689831,0.420448,1.0
0.514644,0.715054,-1.0
0.288136,0.347491,1.0
0.730508,0.36362,1.0
0.730508,0.528853,-1.0
0.381695,0.492115,1.0
0.448136,0.274014,-1.0
0.722034,0.179211,1.0
0.509017,0.189964,-1.0
0.333898,0.531541,-1.0
0.476271,0.195341,-1.0
0.519169,0.6,1.0
0.405593,0.670251,-1.0
0.757627,0.116487,1.0
0.592881,0.636201,-1.0
0.727119,0.704301,1.0
0.874576,0.611111,1.0
0.445424,0.394803,1.0
0.738983,0.533871,-1.0
0.50661,0.291219,-1.0
0.384915,0.654122,-1.0
0.627966,0.424229,1.0
0.220339,0.252688,1.0
0.220339,0.257348,1.0
0.663729,0.697133,1.0
0.666949,0.565591,-1.0
0.443051,0.16129,-1.0
0.694915,0.514337,-1.0
0.759322,0.360932,-1.0
0.584237,0.236559,-1.0
0.654237,0.679211,-1.0
0.340678,0.448746,1.0
0.388983,0.172043,-1.0
0.64339,0.675627,1.0
0.310169,0.469534,1.0
0.382542,0.326344,-1.0
0.518593,0.806452,-1.0
0.485932,0.353226,1.0
0.428475,0.271864,-1.0
0.680678,0.602509,-1.0
0.208475,0.146953,1.0
0.387119,0.596953,-1.0
0.487458,0.496416,1.0
0.649831,0.682796,1.0
0.852542,0.311828,-1.0
0.823729,0.670251,1.0
0.370678,0.446416,1.0
0.516644,0.24552,-1.0
0.576102,0.396953,1.0
0.416271,0.254659,-1.0
0.249153,0.446595,-1.0
0.318644,0.655914,-1.0
0.61339,0.452151,-1.0
0.589153,0.706093,-1.0
0.507424,0.462366,1.0
0.432881,0.630824,-1.0
0.69661,0.381541,1.0
0.375254,0.249104,-1.0
0.922034,0.645161,1.0
0.357288,0.234767,-1.0
0.327119,0.512366,1.0
0.228814,0.552509,-1.0
0.337288,0.636201,-1.0
0.526763,0.302867,1.0
0.418644,0.251971,-1.0
0.266102,0.546595,-1.0
0.705085,0.251792,1.0
0.679153,0.522401,-1.0
0.515559,0.700717,-1.0
0.776271,0.706093,1.0
0.424746,0.609319,-1.0
0.513136,0.40681,1.0
0.238983,0.621864,-1.0
0.223729,0.262903,1.0
0.489492,0.555914,1.0
0.70339,0.351792,1.0
0.813559,0.625448,1.0
0.235593,0.584588,-1.0
0.838983,0.632616,1.0
0.434068,0.364337,1.0
0.454068,0.195341,-1.0
0.63661,0.672043,1.0
0.551186,0.286559,-1.0
0.473559,0.474014,1.0
0.517847,0.66129,-1.0
0.573559,0.159498,-1.0
0.435593,0.218638,-1.0
0.649322,0.213262,1.0
0.298305,0.621864,-1.0
0.507,0.601434,1.0
0.525949,0.254659,-1.0
0.675593,0.71147,1.0
0.453898,0.516487,1.0
0.639492,0.620072,-1.0
0.396102,0.417294,1.0
0.512305,0.759857,-1.0
0.70678,0.550717,-1.0
0.718644,0.471864,-1.0
0.607966,0.308065,1.0
0.55322,0.772401,-1.0
0.801695,0.436864,-1.0
0.442712,0.285663,-1.0
0.447966,0.249104,-1.0
0.347458,0.392473,1.0
0.872881,0.341935,-1.0
0.372881,0.218638,-1.0
0.57661,0.207885,-1.0
0.689153,0.179211,1.0
0.573051,0.285842,-1.0
0.575085,0.402688,1.0
0.710169,0.303763,1.0
0.621864,0.24552,1.0
0.262712,0.551075,-1.0
0.678983,0.454122,1.0
0.723729,0.538351,-1.0
0.56678,0.273835,-1.0
0.375085,0.356452,1.0
0.857627,0.605735,1.0
0.603559,0.677419,-1.0
0.8,0.513441,-1.0
0.683898,0.483692,-1.0
0.544237,0.195341,-1.0
0.70339,0.304659,1.0
0.764407,0.370968,1.0
0.614407,0.518638,1.0
0.678305,0.407885,-1.0
0.39661,0.632616,-1.0
0.716949,0.39086,1.0
0.349153,0.232975,-1.0
0.569153,0.234767,1.0
0.223729,0.279928,1.0
0.587797,0.417401,1.0
0.725424,0.448566,1.0
0.495254,0.664875,-1.0
0.874576,0.645161,1.0
0.342373,0.555018,-1.0
0.322034,0.483692,-1.0
0.725424,0.553226,-1.0
0.544237,0.736559,-1.0
0.732203,0.417885,1.0
0.598305,0.499821,1.0
0.401186,0.541756,-1.0
0.416949,0.598387,-1.0
0.547966,0.475448,1.0
0.732203,0.3181,1.0
0.845763,0.41819,-1.0
0.730508,0.425233,-1.0
0.525542,0.432939,1.0
0.584746,0.300179,1.0
0.547288,0.247312,-1.0
0.575932,0.238351,-1.0
0.414407,0.385663,1.0
0.718644,0.556452,-1.0
0.433729,0.200717,-1.0
0.701695,0.553943,-1.0
0.535271,0.292115,-1.0
0.422881,0.689964,-1.0
0.645763,0.605556,-1.0
0.208475,0.255735,1.0
0.535458,0.279928,-1.0
0.67,0.565412,-1.0
0.426441,0.664875,-1.0
0.444576,0.157706,-1.0
0.766102,0.515054,-1.0
0.42339,0.218638,-1.0
0.544407,0.420968,1.0
0.677797,0.449462,-1.0
0.404237,0.261649,-1.0
0.701695,0.509498,-1.0
0.390508,0.189964,-1.0
0.535593,0.732975,-1.0
0.462712,0.198925,-1.0
0.311864,0.604839,-1.0
0.749153,0.682796,1.0
0.655593,0.303943,1.0
0.20678,0.202509,1.0
0.553898,0.695341,-1.0
0.349153,0.639785,-1.0
0.361695,0.28172,1.0
0.529576,0.30448,-1.0
0.311864,0.520072,1.0
0.492034,0.181004,-1.0
0.313559,0.607527,-1.0
0.579492,0.362007,1.0
0.291525,0.284409,1.0
0.61339,0.718638,-1.0
0.484746,0.621864,-1.0
0.418814,0.294265,-1.0
0.368814,0.620072,-1.0
0.551356,0.193548,-1.0
0.725424,0.188172,1.0
0.690339,0.193548,1.0
0.247458,0.175627,1.0
0.350847,0.375269,1.0
0.458136,0.47491,1.0
0.254237,0.249104,1.0
0.810169,0.298566,-1.0
0.376441,0.421272,1.0
0.201695,0.447312,1.0
0.227119,0.557706,-1.0
0.344068,0.236559,-1.0
0.437458,0.175627,-1.0
0.504746,0.277599,1.0
0.70678,0.569892,-1.0
0.608136,0.529928,-1.0
0.388814,0.136201,-1.0
0.472881,0.241935,-1.0
0.127119,0.472401,-1.0
0.666441,0.175627,1.0
0.519271,0.18638,-1.0
0.623051,0.634409,-1.0
0.840678,0.385484,-1.0
0.592203,0.27276,-1.0
0.619322,0.225806,1.0
0.513831,0.52509,1.0
0.255932,0.202509,1.0
0.385932,0.326165,1.0
0.425593,0.294265,1.0
0.294915,0.664875,-1.0
0.415424,0.260215,-1.0
0.776271,0.426919,-1.0
0.645593,0.442312,1.0
0.529593,0.732975,-1.0
0.477288,0.436703,1.0
0.558814,0.433763,1.0
0.8,0.383333,-1.0
0.488644,0.294803,-1.0
0.402203,0.607527,-1.0
0.722034,0.326703,1.0
0.635763,0.731183,-1.0
0.332203,0.535842,-1.0
0.505254,0.204301,-1.0
0.638983,0.554122,-1.0
0.670678,0.573477,-1.0
0.428475,0.247312,-1.0
0.827119,0.410036,-1.0
0.20678,0.231183,1.0
0.36339,0.393011,1.0
0.661356,0.393369,1.0
0.572373,0.335663,1.0
0.568136,0.307706,-1.0
0.463051,0.24552,-1.0
0.457288,0.200717,-1.0
0.320339,0.24552,-1.0
0.46661,0.168459,-1.0
0.262712,0.313082,1.0
0.576441,0.743728,-1.0
0.443559,0.294086,-1.0
0.813559,0.432204,-1.0
0.842373,0.362366,-1.0
0.323729,0.410789,1.0
0.531034,0.424749,1.0
0.732203,0.491756,-1.0
0.537085,0.41043,1.0
0.532949,0.143369,-1.0
0.483051,0.736559,1.0
0.439661,0.232975,-1.0
0.415932,0.670251,-1.0
0.718644,0.541935,-1.0
0.742373,0.172043,1.0
0.357119,0.61828,-1.0
0.488814,0.343369,1.0
0.574237,0.279749,1.0
0.358983,0.238351,-1.0
0.728814,0.491756,-1.0
0.579322,0.734767,1.0
0.57678,0.236559,-1.0
0.313559,0.365233,1.0
0.288136,0.306452,1.0
0.727119,0.148746,1.0
0.488475,0.487814,1.0
0.617458,0.704301,-1.0
0.583729,0.215054,-1.0
0.398305,0.154122,-1.0
0.39339,0.670251,-1.0
0.517271,0.286559,-1.0
0.506441,0.405018,1.0
0.344068,0.517204,1.0
0.442203,0.623656,-1.0
0.670508,0.263978,1.0
0.70339,0.475986,-1.0
0.816949,0.729391,1.0
0.436271,0.260753,-1.0
0.372373,0.200717,-1.0
0.727119,0.258423,1.0
0.653051,0.634409,-1.0
0.658305,0.564875,-1.0
0.470508,0.431792,1.0
0.446441,0.706093,-1.0
0.7,0.529211,-1.0
0.507153,0.35233,1.0
0.755932,0.313082,-1.0
0.489661,0.441326,1.0
0.189831,0.537814,-1.0
0.691525,0.414659,1.0
0.740678,0.589964,-1.0
0.620169,0.718638,1.0
0.320339,0.347491,1.0
0.437627,0.693548,-1.0
0.237288,0.396953,-1.0
0.47322,0.202509,-1.0
0.574746,0.218638,-1.0
0.688983,0.693548,-1.0
0.379153,0.382796,1.0
0.665593,0.741935,1.0
0.587966,0.672043,-1.0
0.462034,0.413477,1.0
0.682881,0.365412,1.0
0.733898,0.527599,-1.0
0.755932,0.368996,1.0
0.442373,0.264695,-1.0
0.750847,0.381541,-1.0
0.572203,0.648746,-1.0
0.637627,0.792115,-1.0
0.435593,0.155914,-1.0
0.43678,0.659498,-1.0
0.413898,0.315233,-1.0
0.504576,0.393011,1.0
0.541186,0.487276,1.0
0.364237,0.603226,-1.0
