@relation phoneme-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Aa numeric
@attribute Ao numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.506286,0.385977,0.322182,0.341048,0.337497,0
0.338901,0.469588,0.569096,0.283413,0.374969,0
0.562597,0.384575,0.621864,0.594963,0.460405,0
0.340796,0.406135,0.871764,0.191287,0.320759,0
0.345617,0.455565,0.891876,0.144089,0.204097,0
0.458068,0.357406,0.334528,0.379396,0.305521,0
0.799208,0.347765,0.660295,0.28364,0.290032,0
0.361805,0.435758,0.773994,0.202178,0.243817,0
0.332185,0.539001,0.489247,0.417518,0.320759,0
0.344929,0.339351,0.457387,0.68255,0.118161,1
0.347512,0.374759,0.525886,0.545042,0.535598,1
0.405545,0.417353,0.636201,0.194463,0.762928,1
0.310832,0.333567,0.431103,0.547084,0.320759,1
0.385914,0.608589,0.251095,0.307012,0.285536,1
0.534527,0.500964,0.457786,0.722033,0.214839,0
0.384364,0.576687,0.292314,0.402088,0.290282,0
0.311348,0.313935,0.622262,0.603812,0.233575,0
0.43172,0.622962,0.25229,0.307692,0.360979,0
0.471672,0.630675,0.701314,0.275017,0.278791,1
0.347167,0.47099,0.758463,0.217155,0.444916,0
0.31617,0.361613,0.730785,0.602224,0.214839,0
0.384536,0.685013,0.244524,0.307238,0.290032,0
0.318753,0.345136,0.652529,0.649421,0.141894,1
0.384536,0.607537,0.488252,0.413433,0.295778,0
0.396074,0.478878,0.856233,0.199682,0.25281,1
0.413122,0.634882,0.496416,0.450193,0.223083,0
0.399346,0.62489,0.279968,0.316996,0.289533,0
0.311865,0.285013,0.443449,0.516224,0.320759,0
0.40434,0.667134,0.574871,0.286816,0.320759,0
0.580162,0.622787,0.471525,0.41071,0.286035,0
0.364388,0.528659,0.51354,0.301566,0.284537,0
0.303082,0.272042,0.386699,0.418652,0.548589,0
0.377475,0.689045,0.244723,0.429771,0.284037,0
0.421388,0.412971,0.631023,0.13229,0.750937,1
0.518684,0.686766,0.537037,0.479918,0.277042,0
0.313587,0.287117,0.480088,0.807579,0.157882,0
0.400551,0.638738,0.515532,0.452008,0.244567,0
0.788875,0.389658,0.461569,0.466531,0.292531,0
0.458068,0.423663,0.465153,0.611527,0.502873,1
0.375409,0.495881,0.859817,0.201725,0.421184,1
0.87584,0.179842,0.390084,0.341048,0.30702,0
0.480282,0.482033,0.285942,0.330837,0.343243,0
0.339246,0.400701,0.698925,0.745632,0.320759,0
0.735492,0.191411,0.403027,0.389834,0.287534,0
0.449802,0.633129,0.273596,0.322668,0.296028,0
0.384191,0.601578,0.283951,0.313138,0.295029,0
0.314276,0.328659,0.521306,0.548446,0.320759,1
0.443258,0.763716,0.264237,0.413887,0.440669,0
0.355089,0.353199,0.664277,0.517359,0.450662,1
0.372998,0.632077,0.726404,0.535285,0.257557,0
0.319442,0.322699,0.460573,0.216928,0.320759,0
0.346306,0.494303,0.447232,0.427729,0.292531,0
0.587567,0.541805,0.437674,0.474699,0.467899,0
0.474427,0.440316,0.421346,0.400045,0.285536,0
0.392113,0.819457,0.239347,0.303154,0.320759,0
0.338557,0.35723,0.562525,0.616973,0.454659,1
0.339762,0.586328,0.715054,0.516905,0.320759,0
0.365593,0.544785,0.224413,0.470161,0.597052,0
0.310832,0.336722,0.427917,0.175403,0.320759,1
0.823833,0.369676,0.329948,0.338779,0.305521,0
0.433959,0.597721,0.460972,0.422963,0.273295,0
0.372654,0.546713,0.796296,0.241434,0.239071,0
0.480971,0.529185,0.451613,0.287951,0.722458,0
0.419149,0.346012,0.639188,0.48491,0.433425,1
0.280179,0.188782,0.274393,0.707965,0.024981,1
0.338901,0.611919,0.560335,0.501702,0.320759,0
0.317031,0.344785,0.546595,0.789653,0.320759,1
0.375753,0.393339,0.648746,0.169276,0.130402,1
0.493887,0.610517,0.305456,0.331064,0.347989,0
0.321164,0.413322,0.750697,0.235307,0.263802,0
0.459273,0.622612,0.305058,0.325845,0.294029,0
0.569485,0.637862,0.287137,0.409122,0.361479,0
0.440158,0.561262,0.599164,0.441797,0.320759,0
0.336663,0.783874,0.262047,0.647833,0.224582,0
0.388497,0.837511,0.244126,0.303154,0.282538,0
0.318237,0.368799,0.66826,0.738144,0.320759,0
0.39263,0.540228,0.57945,0.434536,0.320759,0
0.356639,0.639965,0.272202,0.320626,0.300025,0
0.620802,0.317967,0.337714,0.376673,0.338746,0
0.32237,0.399649,0.771406,0.182437,0.177867,0
0.306699,0.286766,0.451613,0.20059,0.776418,0
0.369037,0.356179,0.514138,0.646925,0.550587,1
0.445497,0.612445,0.491637,0.466531,0.601799,0
0.436025,0.7078,0.235763,0.445201,0.320759,0
0.839848,0.1844,0.3409,0.37917,0.302273,0
0.351472,0.409115,0.942055,0.183572,0.418436,0
0.457207,0.48589,0.683194,0.521216,0.49288,1
0.620114,0.320596,0.400438,0.393011,0.282788,0
0.365077,0.652235,0.633413,0.511913,0.320759,0
0.330291,0.348116,0.571685,0.856592,0.094929,1
0.376614,0.665031,0.277778,0.310415,0.290532,0
0.442742,0.401052,0.655317,0.615612,0.655259,1
0.313415,0.310254,0.427718,0.28659,0.54659,1
0.349234,0.423663,0.770012,0.599955,0.581314,1
0.594455,0.490272,0.614098,0.259587,0.482638,1
0.498881,0.477476,0.433294,0.400499,0.350487,0
0.316342,0.323576,0.514337,0.724302,0.320759,1
0.412089,0.532866,0.267822,0.3086,0.281789,0
0.323747,0.379141,0.766029,0.598366,0.320759,0
0.365249,0.417528,0.821983,0.234627,0.406695,0
0.528844,0.485188,0.305854,0.396642,0.278041,0
0.402962,0.664154,0.58861,0.282732,0.320759,0
0.384019,0.455741,0.562525,0.525074,0.147889,1
0.365765,0.36319,0.515532,0.636714,0.587559,1
0.380231,0.747415,0.263839,0.418425,0.281039,0
0.629585,0.465381,0.526284,0.461085,0.256807,0
0.322025,0.470289,0.526284,0.434309,0.320759,0
0.353367,0.553024,0.287933,0.321307,0.320759,0
0.324436,0.319544,0.465352,0.612208,0.597052,1
