@relation page-blocks-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Height numeric
@attribute Lenght numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute P_and numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
0.004981,0.01087,0.000194,0.002594,0.367089,0.634328,0.000268,0.000394,0.000347,0.001557,1
0.006227,0.01087,0.000243,0.00216,0.397679,0.873134,0.000525,0.000515,0.00065,0.001246,1
0.006227,0.030797,0.000701,0.005574,0.24789,0.723881,0.000692,0.000909,0.001583,0.001869,1
0.004981,0.01087,0.000194,0.002594,0.336498,0.726013,0.000672,0.000363,0.000412,0.000623,1
0.006227,0.003623,0.000076,0.931098,0.472574,0.940299,0.000252,0.000242,0.000217,0.000934,1
0.004981,0.012681,0.000229,0.002967,0.525316,1,0.000291,0.000636,0.000715,0.002491,1
0.006227,0.005435,0.000118,0.001229,0.385021,0.688699,0.000303,0.000273,0.000217,0.000934,1
0.004981,0.009058,0.00016,0.002222,0.296414,0.288913,0.001817,0.000273,0.000065,0,1
0.004981,0.007246,0.000125,0.001849,0.367089,0.488273,0.001817,0.000273,0.00013,0,1
0.004981,0.001812,0.000021,0.000732,0.78903,1,0.001413,0.000212,0.000065,0,1
0.004981,0.003623,0.000056,0.001104,0.507384,0.715352,0.001413,0.000212,0.000087,0,1
0.004981,0.009058,0.00016,0.002222,0.401899,0.715352,0.002422,0.000363,0.000325,0,1
0.004981,0.01087,0.000194,0.002594,0.397679,0.847548,0.000807,0.000424,0.000499,0.000623,1
0.006227,0.01087,0.000243,0.00216,0.372363,0.873134,0.000656,0,0.015826,0.000934,1
0.004981,0.012681,0.000229,0.002967,0.340717,0.440299,0.002826,0.000424,0.00026,0,1
0.006227,0.01087,0.000243,0.00216,0.372363,0.948827,0.000656,0.000485,0.000715,0.000934,1
0.004981,0.032609,0.000611,0.007063,0.189873,0.360341,0.000908,0.000636,0.000672,0.000934,1
0.004981,0.007246,0.000125,0.001849,0.367089,0.530917,0.000807,0.000273,0.000152,0.000311,1
0.003736,0.009058,0.000118,0.00278,0.385021,0.466951,0.001817,0.000273,0.000108,0,1
0.003736,0.009058,0.000118,0.00278,0.42827,0.778252,0.000908,0.000303,0.00026,0.000311,1
0.003736,0.030797,0.000451,0.008367,0.208861,0.496802,0.000317,0.000515,0.000672,0.001869,1
0.004981,0.01087,0.000194,0.002594,0.397679,0.878465,0.000303,0.000424,0.00052,0.001557,1
0.004981,0.005435,0.00009,0.001477,0.472574,0.78678,0.001817,0.000273,0.000195,0,1
0.014944,0.043478,0.002209,0.003568,0.191983,0.238806,0.00199,0.002272,0.001864,0.001869,1
0.014944,0.043478,0.002209,0.003568,0.315401,0.658849,0.001009,0.003423,0.004639,0.005606,1
0.007472,0.027174,0.000729,0.004244,0.283755,0.619403,0.000317,0.00106,0.001409,0.004049,1
0.007472,0.184783,0.004959,0.027388,0.256329,0.670576,0.000153,0.006421,0.010645,0.037372,1
0.012453,0.014493,0.000639,0.00151,0.306962,0.601279,0.000484,0.001,0.001192,0.002803,1
0.012453,0.012681,0.000563,0.001341,0.556962,1,0.000828,0.001514,0.001756,0.002803,1
0.012453,0.012681,0.000563,0.001341,0.376582,0.442431,0.007065,0.00106,0.000759,0,1
0.012453,0.012681,0.000563,0.001341,0.580169,1,0.000987,0.001575,0.001756,0.002491,1
0.012453,0.061594,0.002625,0.005913,0.348101,0.634328,0.001036,0.004422,0.005333,0.007163,1
0.002491,0.202899,0.002306,0.070131,0.377637,0.4371,0.002604,0.00418,0.003317,0.002803,2
0.002491,0.105072,0.001181,0.036611,0.446203,0.440299,0.016754,0.002514,0.001669,0,2
0.001245,0.03442,0.000229,0.018609,0.657173,0.653518,0.005248,0.000787,0.000434,0,2
0.001245,0.181159,0.001354,0.094029,0.514768,0.726013,0.001998,0.003271,0.0031,0.002803,2
0.011208,0.067029,0.002591,0.007063,0.394515,0.943497,0.000428,0.004876,0.007653,0.015883,1
0.009963,0.036232,0.001264,0.004332,0.397679,0.75693,0.000404,0.002423,0.003013,0.008097,1
0.011208,0.175725,0.006758,0.018237,0.344937,0.824094,0.000246,0.011207,0.017582,0.051697,1
0.009963,0.088768,0.003077,0.010333,0.468354,0.955224,0.000341,0.006724,0.009192,0.025537,1
0.003736,0.349638,0.005341,0.090305,0.222574,0.224947,0.006661,0.006149,0.004444,0.001557,2
