@relation texture-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
0.102068,0.262745,0.267836,0.277385,0.340483,0.406186,0.238315,0.305142,0.341365,0.241785,0.102068,0.140206,0.212087,0.170213,0.245709,0.267961,0.151846,0.211131,0.225391,0.177888,0.102068,0.180373,0.198097,0.228954,0.283129,0.366824,0.177202,0.233503,0.283465,0.214889,0.102068,0.236812,0.324918,0.284819,0.346863,0.373524,0.284438,0.369481,0.397496,0.361905,2
0.017986,0.111765,0.179565,0.12662,0.19504,0.224742,0.095211,0.154939,0.188755,0.137012,0.017986,0,0.128278,0.002553,0.106594,0.160194,0,0.067138,0.103956,0.105003,0.017986,0.080592,0.13822,0.131367,0.21267,0.289278,0.090762,0.161802,0.209974,0.183738,0.017986,0.149083,0.206915,0.192201,0.259779,0.258853,0.178704,0.270333,0.295775,0.236905,2
0.154227,0.360131,0.411729,0.363958,0.459786,0.484536,0.30352,0.407307,0.443106,0.357719,0.154227,0.250859,0.334094,0.295319,0.403794,0.447573,0.270973,0.365724,0.394664,0.313156,0.154227,0.213268,0.273083,0.255764,0.349709,0.449764,0.221502,0.300761,0.352362,0.291447,0.154227,0.279243,0.385291,0.372563,0.475277,0.558179,0.377513,0.49574,0.545383,0.444048,2
0.080935,0.22549,0.212817,0.237338,0.290885,0.36701,0.193883,0.253721,0.292503,0.16739,0.080935,0.119588,0.164766,0.140426,0.205059,0.236893,0.129195,0.186396,0.207912,0.160593,0.080935,0.114583,0.171237,0.13941,0.209438,0.262306,0.114533,0.175761,0.203412,0.202218,0.080935,0.200688,0.234907,0.243036,0.293727,0.288364,0.235294,0.312936,0.327856,0.259524,2
0.053507,0.220915,0.331923,0.247939,0.371984,0.441237,0.202539,0.324763,0.375502,0.296962,0.053507,0.116151,0.232041,0.147234,0.262873,0.32233,0.141779,0.2447,0.292548,0.247066,0.053507,0.116228,0.195299,0.162466,0.257919,0.323668,0.119395,0.208756,0.239501,0.212249,0.053507,0.182339,0.316136,0.236072,0.346863,0.394604,0.224125,0.35244,0.389671,0.3375,2
0.180306,0.371242,0.42503,0.377503,0.450402,0.472852,0.375649,0.458051,0.471218,0.429014,0.180306,0.238488,0.350057,0.28,0.390244,0.462136,0.28104,0.357774,0.410304,0.357628,0.180306,0.205592,0.216004,0.236997,0.276018,0.341875,0.220962,0.257614,0.294619,0.280359,0.180306,0.305046,0.390231,0.329387,0.415498,0.421585,0.311243,0.412858,0.421753,0.376786,2
0.175809,0.347059,0.32104,0.331567,0.387399,0.419931,0.301789,0.374154,0.38755,0.283943,0.175809,0.250172,0.265108,0.277447,0.32972,0.338835,0.261745,0.306537,0.321067,0.238419,0.175809,0.238487,0.241186,0.268633,0.328378,0.389751,0.23825,0.295051,0.32874,0.279831,0.175809,0.28039,0.345774,0.325905,0.37786,0.397133,0.31869,0.374903,0.381064,0.316071,2
0.088129,0.292157,0.38815,0.310365,0.424933,0.461168,0.251587,0.377537,0.425033,0.352759,0.088129,0.138144,0.224059,0.156596,0.246612,0.285437,0.127517,0.204947,0.24931,0.201977,0.088129,0.178728,0.229435,0.231635,0.327085,0.42886,0.179903,0.281091,0.347113,0.275079,0.088129,0.274083,0.439078,0.341226,0.476015,0.524452,0.342517,0.498064,0.523474,0.480357,2
0.119604,0.298039,0.368198,0.308009,0.396783,0.414433,0.264859,0.351827,0.364123,0.3261,0.119604,0.182818,0.27138,0.222128,0.331527,0.367961,0.208054,0.295936,0.324747,0.27239,0.119604,0.199013,0.243425,0.241287,0.330963,0.401214,0.203133,0.298858,0.343176,0.293559,0.119604,0.273509,0.378705,0.314067,0.408118,0.399663,0.304542,0.412858,0.41784,0.352976,2
0.201439,0.388235,0.320435,0.360424,0.401475,0.42543,0.322562,0.374154,0.36747,0.247985,0.201439,0.250172,0.269099,0.28766,0.328817,0.351456,0.265101,0.295936,0.306348,0.230389,0.201439,0.247807,0.181869,0.286327,0.296057,0.374916,0.264182,0.281091,0.313648,0.2434,0.201439,0.330849,0.326564,0.384401,0.409594,0.404722,0.402085,0.451588,0.464789,0.377976,2
0.196043,0.35098,0.324063,0.327444,0.385389,0.420619,0.304674,0.370095,0.382865,0.292002,0.196043,0.264605,0.279361,0.279149,0.33785,0.346602,0.259228,0.30742,0.322907,0.24336,0.196043,0.25,0.233352,0.273995,0.312864,0.358732,0.246353,0.284898,0.305118,0.258712,0.196043,0.293005,0.337541,0.333565,0.378598,0.397133,0.328369,0.377227,0.385759,0.321429,2
0.220324,0.403268,0.375453,0.395171,0.453753,0.502405,0.349683,0.416779,0.44913,0.3292,0.220324,0.287285,0.266819,0.353191,0.385727,0.433981,0.340604,0.365724,0.398344,0.273008,0.220324,0.281798,0.280358,0.30992,0.374919,0.452461,0.287952,0.347716,0.370735,0.294087,0.220324,0.341743,0.389133,0.413649,0.466421,0.513491,0.413254,0.476375,0.49061,0.398214,2
0.178957,0.39281,0.297461,0.374558,0.428284,0.492784,0.33468,0.402571,0.41834,0.246745,0.178957,0.267354,0.312429,0.30383,0.397471,0.42233,0.285235,0.367491,0.385465,0.285979,0.178957,0.211075,0.177952,0.241287,0.261151,0.327714,0.237709,0.263325,0.287402,0.258184,0.178957,0.294151,0.26674,0.321031,0.330627,0.306914,0.323902,0.353215,0.364632,0.288095,2
0.154676,0.284314,0.314389,0.253239,0.310992,0.294158,0.238315,0.299053,0.289157,0.252325,0.154676,0.186254,0.169327,0.19234,0.188799,0.17767,0.178691,0.168728,0.160074,0.114886,0.154676,0.211075,0.186905,0.235925,0.270847,0.343223,0.201513,0.245558,0.278871,0.218585,0.154676,0.241399,0.32382,0.275766,0.347601,0.397976,0.262844,0.33385,0.35446,0.302976,2
0.125,0.260784,0.2763,0.244994,0.311662,0.345017,0.22562,0.29364,0.303882,0.227526,0.125,0.173196,0.214937,0.195745,0.282746,0.330097,0.182047,0.256184,0.292548,0.218036,0.125,0.190241,0.168439,0.219303,0.260504,0.321645,0.185845,0.232868,0.251312,0.184266,0.125,0.228784,0.258507,0.263928,0.304059,0.320405,0.253909,0.306739,0.323944,0.264286,2
