@relation satimage-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Sp11 numeric
@attribute Sp12 numeric
@attribute Sp13 numeric
@attribute Sp14 numeric
@attribute Sp15 numeric
@attribute Sp16 numeric
@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp21 numeric
@attribute Sp22 numeric
@attribute Sp23 numeric
@attribute Sp24 numeric
@attribute Sp25 numeric
@attribute Sp26 numeric
@attribute Sp27 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp39 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp43 numeric
@attribute Sp44 numeric
@attribute Sp45 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Sp48 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
0.815385,0.8,0.770115,0.504132,0.692308,0.681818,0.589474,0.390625,0.6875,0.728155,0.547368,0.421875,0.953846,0.9,0.873684,0.592,0.8125,0.825243,0.715789,0.4375,0.692308,0.737864,0.568421,0.40625,0.969231,0.951923,0.933333,0.6,0.753846,0.912621,0.821053,0.554688,0.692308,0.776699,0.663158,0.453125,3
0.692308,0.681818,0.609195,0.380165,0.692308,0.681818,0.547368,0.421875,0.625,0.728155,0.547368,0.390625,0.815385,0.772727,0.715789,0.448,0.6875,0.737864,0.568421,0.40625,0.692308,0.699029,0.568421,0.382813,0.753846,0.903846,0.866667,0.568,0.692308,0.776699,0.663158,0.453125,0.692308,0.699029,0.568421,0.390625,3
0.692308,0.681818,0.563218,0.413223,0.630769,0.681818,0.547368,0.390625,0.6875,0.650485,0.547368,0.390625,0.692308,0.690909,0.568421,0.416,0.6875,0.699029,0.568421,0.382813,0.692308,0.699029,0.568421,0.40625,0.692308,0.769231,0.7,0.464,0.692308,0.699029,0.568421,0.390625,0.692308,0.699029,0.568421,0.390625,3
0.630769,0.681818,0.563218,0.380165,0.692308,0.609091,0.547368,0.390625,0.625,0.650485,0.505263,0.367188,0.692308,0.654545,0.568421,0.392,0.6875,0.699029,0.568421,0.40625,0.569231,0.699029,0.568421,0.40625,0.692308,0.692308,0.6,0.4,0.692308,0.699029,0.568421,0.390625,0.692308,0.737864,0.568421,0.390625,3
0.692308,0.609091,0.563218,0.380165,0.630769,0.609091,0.505263,0.367188,0.625,0.728155,0.547368,0.390625,0.692308,0.654545,0.568421,0.416,0.5625,0.699029,0.568421,0.40625,0.569231,0.699029,0.610526,0.4375,0.692308,0.692308,0.6,0.4,0.692308,0.737864,0.568421,0.390625,0.615385,0.776699,0.621053,0.453125,3
0.630769,0.609091,0.517241,0.355372,0.630769,0.681818,0.547368,0.390625,0.5625,0.728155,0.547368,0.390625,0.569231,0.654545,0.568421,0.416,0.5625,0.699029,0.610526,0.4375,0.569231,0.737864,0.715789,0.460938,0.692308,0.730769,0.6,0.4,0.615385,0.776699,0.621053,0.453125,0.615385,0.776699,0.621053,0.453125,3
0.569231,0.681818,0.609195,0.413223,0.569231,0.681818,0.589474,0.453125,0.625,0.68932,0.589474,0.390625,0.630769,0.727273,0.715789,0.472,0.625,0.825243,0.715789,0.460938,0.630769,0.776699,0.663158,0.4375,0.615385,0.769231,0.7,0.464,0.615385,0.737864,0.568421,0.421875,0.615385,0.737864,0.568421,0.390625,3
0.569231,0.681818,0.609195,0.446281,0.630769,0.645455,0.589474,0.390625,0.5625,0.650485,0.547368,0.367188,0.630769,0.772727,0.715789,0.472,0.625,0.776699,0.663158,0.4375,0.630769,0.660194,0.526316,0.382813,0.615385,0.730769,0.6,0.432,0.615385,0.737864,0.568421,0.390625,0.615385,0.660194,0.526316,0.390625,3
0.569231,0.609091,0.517241,0.355372,0.569231,0.645455,0.547368,0.335938,0.5625,0.650485,0.421053,0.367188,0.569231,0.581818,0.568421,0.36,0.5625,0.660194,0.526316,0.382813,0.569231,0.621359,0.526316,0.351563,0.553846,0.615385,0.511111,0.336,0.615385,0.582524,0.452632,0.328125,0.615385,0.582524,0.452632,0.296875,4
0.569231,0.645455,0.563218,0.322314,0.569231,0.609091,0.421053,0.367188,0.5625,0.601942,0.463158,0.367188,0.569231,0.618182,0.526316,0.392,0.5625,0.621359,0.526316,0.351563,0.569231,0.582524,0.526316,0.351563,0.615385,0.576923,0.477778,0.336,0.615385,0.582524,0.452632,0.296875,0.553846,0.582524,0.484211,0.328125,4
0.507692,0.609091,0.425287,0.322314,0.507692,0.563636,0.463158,0.367188,0.5,0.601942,0.505263,0.367188,0.569231,0.545455,0.431579,0.36,0.5625,0.582524,0.431579,0.296875,0.492308,0.582524,0.389474,0.320313,0.553846,0.615385,0.511111,0.336,0.553846,0.582524,0.452632,0.296875,0.492308,0.582524,0.410526,0.296875,4
0.446154,0.563636,0.37931,0.322314,0.446154,0.527273,0.421053,0.367188,0.4375,0.650485,0.463158,0.390625,0.446154,0.509091,0.389474,0.304,0.4375,0.543689,0.389474,0.296875,0.492308,0.543689,0.389474,0.320313,0.492308,0.461538,0.344444,0.304,0.492308,0.466019,0.326316,0.257813,0.430769,0.466019,0.368421,0.328125,4
0.446154,0.527273,0.425287,0.355372,0.446154,0.609091,0.463158,0.390625,0.5625,0.650485,0.642105,0.390625,0.446154,0.509091,0.389474,0.304,0.484375,0.543689,0.389474,0.320313,0.569231,0.621359,0.431579,0.351563,0.492308,0.461538,0.344444,0.264,0.430769,0.466019,0.368421,0.328125,0.430769,0.466019,0.484211,0.390625,4
0.446154,0.609091,0.471264,0.380165,0.569231,0.609091,0.642105,0.390625,0.625,0.68932,0.589474,0.421875,0.492308,0.509091,0.389474,0.328,0.5625,0.621359,0.431579,0.351563,0.569231,0.660194,0.568421,0.40625,0.430769,0.461538,0.388889,0.336,0.430769,0.466019,0.484211,0.390625,0.553846,0.543689,0.484211,0.421875,4
