@relation ring-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
0.587056,0.662637,0.542978,0.603659,0.759048,0.258602,0.823262,0.320266,0.597233,0.504039,0.505696,0.636402,0.871176,0.580533,0.419329,0.495865,0.539894,0.666199,0.592093,0.25744,0
0.5945,0.546437,0.554969,0.448461,0.52893,0.60355,0.606924,0.51522,0.599005,0.637501,0.537406,0.494361,0.618935,0.548429,0.343211,0.579567,0.686986,0.469312,0.523193,0.633912,1
0.580219,0.485493,0.562529,0.35453,0.677158,0.589013,0.617944,0.5301,0.456342,0.506684,0.585237,0.529184,0.569968,0.539333,0.636673,0.609725,0.476147,0.565076,0.653389,0.489511,1
0.562899,0.605533,0.5377,0.570049,0.612221,0.507123,0.465946,0.69182,0.563493,0.580456,0.512424,0.596222,0.70746,0.547003,0.448416,0.594396,0.563468,0.529667,0.569277,0.435222,1
0.412944,0.583559,0.63897,0.49608,0.465763,0.449996,0.741931,0.492182,0.555858,0.492601,0.534541,0.817003,0.517001,0.324306,0.499932,0.7998,0.594155,0.499809,0.523494,0.6321,0
0.502963,0.173873,0.470186,0.950639,0.391096,0.466725,0.54877,0.940705,0.485447,0.646579,0.553061,0.612858,0.382991,0.511301,0.299103,0.368459,0.429349,0.493556,0.707003,0.385114,0
0.474248,0.492035,0.306289,0.530996,0.631827,0.466579,0.582468,0.607674,0.618295,0.832082,0.301512,0.629705,0.542114,0.439761,0.526981,0.515828,0.521481,0.659946,0.529895,0.403094,0
0.609465,0.532428,0.509026,0.489184,0.540282,0.605084,0.565548,0.521565,0.578216,0.516549,0.466458,0.519033,0.555152,0.477703,0.631915,0.515471,0.482703,0.663966,0.562726,0.428601,1
0.662261,0.723724,0.503291,0.509654,0.543377,0.47067,0.607351,0.468313,0.638811,0.566517,0.594098,0.638446,0.571524,0.57171,0.605546,0.513118,0.544079,0.56329,0.571913,0.526796,1
0.472729,0.386503,0.795764,0.459785,0.497678,0.648696,0.696289,0.570587,0.57099,0.497176,0.65472,0.613281,0.376917,0.51931,0.408794,0.611222,0.401799,0.375399,0.557455,0.477246,0
0.447812,0.564145,0.558162,0.482578,0.642368,0.634451,0.740936,0.527759,0.527435,0.500107,0.476451,0.563936,0.70783,0.397814,0.632459,0.493369,0.413865,0.507337,0.431627,0.584292,1
0.477514,0.57026,0.435907,0.542247,0.388959,0.431587,0.614389,0.386585,0.522868,0.670169,0.551862,0.588397,0.595229,0.560239,0.581827,0.473834,0.579509,0.574136,0.534036,0.460659,1
0.615618,0.688949,0.426979,0.772575,0.491118,0.332384,0.517773,0.298059,0.414355,0.517407,0.389714,0.248696,0.627306,0.421163,0.526369,0.486596,0.43179,0.567309,0.743976,0.588543,0
0.548769,0.505334,0.303226,0.658537,0.454633,0.556432,0.552325,0.555404,0.499421,0.55944,0.433549,0.688707,0.445589,0.520396,0.515563,0.498931,0.380248,0.523287,0.765136,0.717123,0
0.575509,0.580998,0.474096,0.209858,0.340458,0.754986,0.489763,0.393383,0.355668,0.482522,0.471388,0.485197,0.501148,0.555827,0.609623,0.518751,0.462547,0.49094,0.578163,0.36344,0
0.451003,0.526241,0.492147,0.481417,0.541166,0.501278,0.629106,0.605861,0.521982,0.521052,0.547399,0.533625,0.666123,0.688319,0.57639,0.508056,0.517157,0.637999,0.646837,0.402537,1
0.599058,0.525032,0.608341,0.603659,0.502027,0.382278,0.701479,0.525417,0.55545,0.517121,0.494437,0.517694,0.471294,0.434806,0.411105,0.557037,0.574348,0.508039,0.568373,0.48756,1
0.550365,0.730266,0.208732,0.387921,0.759269,0.504858,0.639272,0.519299,0.548224,0.380728,0.515422,0.503525,0.650344,0.627774,0.324453,0.364323,0.596108,0.520544,0.884563,0.305945,0
0.542388,0.63284,0.492473,0.470456,0.525319,0.451677,0.675103,0.623234,0.521096,0.673315,0.54953,0.515931,0.533965,0.59438,0.485048,0.606303,0.490933,0.494832,0.761747,0.446233,1
0.497873,0.520836,0.639818,0.484103,0.598143,0.654832,0.55723,0.566206,0.496899,0.514905,0.51429,0.515931,0.562931,0.596484,0.512029,0.552902,0.494141,0.630471,0.618976,0.525821,1
0.591158,0.496587,0.494167,0.543264,0.656446,0.386369,0.860728,0.581539,0.549519,0.410894,0.697155,0.521359,0.50426,0.443562,0.584953,0.549836,0.468754,0.452405,0.45241,0.672242,0
0.450775,0.52169,0.625676,0.43358,0.470922,0.543137,0.454998,0.373971,0.459751,0.405247,0.470255,0.536585,0.320839,0.605104,0.451543,0.514687,0.65853,0.472502,0.313705,0.481776,0
0.570115,0.663846,0.568785,0.617596,0.582885,0.504712,0.667994,0.580633,0.538,0.601473,0.527613,0.600169,0.489592,0.48164,0.445494,0.601454,0.550286,0.475947,0.667846,0.458778,1
0.675934,0.451856,0.64073,0.521487,0.670082,0.438966,0.486777,0.54128,0.507055,0.678247,0.500366,0.461511,0.584562,0.506007,0.637692,0.719022,0.484377,0.636468,0.574623,0.380932,1
0.689,0.512658,0.533464,0.484829,0.597037,0.62101,0.605503,0.509857,0.623748,0.345128,0.5909,0.601368,0.651974,0.520939,0.462145,0.546699,0.410378,0.597614,0.488855,0.406021,1
0.690596,0.387356,0.469273,0.485918,0.399572,0.508072,0.490473,0.607297,0.454502,0.652012,0.462994,0.441703,0.515742,0.383493,0.519573,0.377299,0.479983,0.765152,0.530798,0.378842,0
