@relation twonorm-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
0.389134,0.160926,0.571395,0.647398,0.267053,0.585692,0.578357,0.428417,0.305531,0.439791,0.434223,0.332636,0.487058,0.317802,0.461297,0.286545,0.540183,0.124849,0.36194,0.363305,1
0.564775,0.456759,0.457501,0.354897,0.310386,0.34643,0.273664,0.496196,0.552655,0.431569,0.368676,0.1686,0.434061,0.360922,0.281633,0.213272,0.339586,0.355276,0.644856,0.471751,1
0.641807,0.403891,0.286592,0.432953,0.449903,0.268251,0.27833,0.398912,0.404804,0.373714,0.44338,0.537897,0.480872,0.279472,0.600707,0.3213,0.638121,0.161101,0.351911,0.471614,1
0.383922,0.609172,0.33898,0.26863,0.456667,0.380019,0.385714,0.552434,0.48582,0.270259,0.720923,0.362444,0.639993,0.262758,0.417468,0.541585,0.424857,0.388524,0.496886,0.606703,1
0.472374,0.515971,0.585916,0.502946,0.442405,0.474911,0.554559,0.505178,0.180376,0.686712,0.516898,0.582602,0.498822,0.431577,0.721265,0.440924,0.564446,0.519567,0.452745,0.533943,1
0.387882,0.580601,0.592377,0.546527,0.372306,0.496937,0.503726,0.438169,0.387687,0.453192,0.626658,0.556608,0.961731,0.557452,0.452921,0.565032,0.488436,0.729011,0.703348,0.435209,0
0.703944,0.390924,0.608339,0.585751,0.460427,0.641782,0.453846,0.581347,0.501066,0.717801,0.644797,0.488664,0.682702,0.62442,0.563336,0.63041,0.39299,0.742569,0.543455,0.502822,0
0.254998,0.395078,0.448214,0.527332,0.365489,0.510463,0.371885,0.658475,0.620916,0.362679,0.589343,0.425246,0.485026,0.379442,0.313677,0.47583,0.353557,0.620589,0.238029,0.414048,1
0.446608,0.302599,0.553846,0.609548,0.420822,0.529339,0.377895,0.270511,0.685855,0.643043,0.552416,0.419083,0.489025,0.251285,0.273712,0.38431,0.291139,0.345524,0.309487,0.563253,1
0.359381,0.537294,0.477402,0.443741,0.280332,0.475536,0.588362,0.360638,0.526637,0.640085,0.199858,0.553828,0.382759,0.506808,0.378538,0.539974,0.381915,0.34215,0.465307,0.515871,1
0.699613,0.421638,0.289587,0.23067,0.317067,0.357568,0.550552,0.594334,0.217252,0.542292,0.464676,0.47133,0.64948,0.420531,0.556173,0.331978,0.569299,0.410725,0.518637,0.524925,1
0.460864,0.62852,0.638923,0.5811,0.511393,0.662033,0.493208,0.554117,0.822289,0.46279,0.717629,0.655406,0.762308,0.435,0.426342,0.492451,0.389637,0.499323,0.575542,0.460773,0
0.529772,0.389732,0.31067,0.455425,0.269619,0.301215,0.366461,0.547386,0.384712,0.381779,0.390671,0.465179,0.648859,0.282581,0.363675,0.624542,0.50555,0.426869,0.424777,0.495925,1
0.662451,0.539991,0.526391,0.427663,0.612269,0.416596,0.29894,0.674069,0.570963,0.726856,0.600147,0.655763,0.457809,0.74968,0.597988,0.640345,0.583895,0.71634,0.383146,0.459508,0
0.401283,0.576724,0.386382,0.286365,0.480554,0.498687,0.270451,0.595187,0.635555,0.396545,0.354367,0.305682,0.592147,0.466635,0.494942,0.477164,0.432828,0.497143,0.415329,0.297243,1
0.741578,0.438253,0.558461,0.610555,0.723836,0.519176,0.449643,0.652645,0.49819,0.697832,0.566151,0.741804,0.816884,0.739261,0.398893,0.512699,0.398586,0.844453,0.698032,0.455762,0
0.328441,0.270188,0.3061,0.389948,0.31224,0.367868,0.413446,0.455873,0.249777,0.446371,0.553015,0.400101,0.66655,0.586115,0.660116,0.45611,0.473683,0.39505,0.149273,0.413416,1
0.579223,0.461827,0.524826,0.521809,0.478962,0.420259,0.544212,0.595163,0.713322,0.800394,0.339546,0.720952,0.373195,0.786055,0.608062,0.655506,0.547319,0.523901,0.589834,0.432443,0
0.676082,0.530323,0.544424,0.492869,0.562601,0.667083,0.56757,0.674827,0.465194,0.652702,0.822162,0.439615,0.491536,0.54885,0.672826,0.383391,0.410574,0.588992,0.482784,0.670222,0
0.653061,0.481874,0.690996,0.412138,0.534411,0.377781,0.649922,0.665324,0.351678,0.437618,0.7772,0.695695,0.465096,0.558894,0.60228,0.448933,0.654557,0.48909,0.617079,0.452438,0
0.638984,0.453989,0.567376,0.517857,0.398884,0.677209,0.394681,0.48469,0.488423,0.448351,0.362963,0.317578,0.424018,0.468227,0.451748,0.39553,0.413196,0.731462,0.577958,0.760881,0
0.553763,0.384844,0.538469,0.577921,0.292437,0.345517,0.247447,0.482652,0.468528,0.481794,0.37434,0.446344,0.389385,0.256928,0.491561,0.220361,0.390146,0.409272,0.447298,0.537155,1
0.4358,0.574822,0.611142,0.579345,0.4716,0.640607,0.569109,0.725033,0.577966,0.665318,0.549334,0.759679,0.846819,0.560147,0.891779,0.525342,0.296096,0.594336,0.601343,0.548021,0
0.759693,0.412054,0.556153,0.416532,0.543971,0.35263,0.594617,0.429638,0.642223,0.700355,0.640406,0.496906,0.608402,0.657371,0.548721,0.301895,0.460012,0.643541,0.433563,0.49017,0
0.689674,0.592834,0.546788,0.452307,0.340409,0.651708,0.812036,0.609276,0.647566,0.594256,0.446985,0.65286,0.383652,0.684618,0.648096,0.49677,0.676172,0.686615,0.47028,0.484588,0
0.293642,0.511745,0.395286,0.355989,0.341425,0.55214,0.418589,0.584143,0.442932,0.401205,0.481455,0.235019,0.372509,0.364195,0.648717,0.299843,0.5307,0.123852,0.373757,0.629389,1
0.275872,0.510878,0.564056,0.58661,0.413607,0.668108,0.489604,0.553548,0.663617,0.638782,0.576269,0.6861,0.430308,0.269128,0.59647,0.633432,0.500359,0.676986,0.548818,0.618995,0
0.587092,0.374887,0.538863,0.413893,0.528745,0.670821,0.570074,0.676818,0.35593,0.560438,0.862869,0.451155,0.624579,0.518858,0.509198,0.346836,0.599562,0.859315,0.47523,0.215787,0
0.633273,0.524989,0.495064,0.373883,0.434959,0.75795,0.482359,0.705126,0.310947,0.482518,0.522774,0.333264,0.457719,0.340033,0.586203,0.401687,0.449459,0.609691,0.769691,0.602597,0
0.371543,0.561988,0.460439,0.259745,0.470469,0.474074,0.158706,0.542338,0.471751,0.360337,0.446349,0.302988,0.397357,0.420731,0.40905,0.446074,0.488358,0.351939,0.5514,0.491187,1
0.380179,0.644268,0.454619,0.532744,0.257524,0.420684,0.398468,0.625616,0.640079,0.456887,0.518832,0.594683,0.625239,0.291948,0.603536,0.589423,0.714001,0.532471,0.499917,0.380546,0
0.520293,0.272439,0.331664,0.50529,0.202432,0.514576,0.385555,0.462485,0.332243,0.600256,0.521077,0.321478,0.439354,0.407114,0.398645,0.416634,0.531874,0.507536,0.613527,0.437008,1
0.337613,0.44685,0.230512,0.401178,0.463223,0.388207,0.377065,0.55901,0.300833,0.590151,0.498235,0.38759,0.475824,0.243536,0.581704,0.475578,0.398964,0.539133,0.379784,0.299525,1
0.662604,0.482933,0.404145,0.385309,0.410235,0.360818,0.470717,0.541686,0.376543,0.280352,0.356376,0.31064,0.079477,0.466986,0.362557,0.404168,0.487693,0.471949,0.315052,0.447725,1
0.362652,0.541267,0.545235,0.406468,0.403711,0.2594,0.187378,0.372914,0.329317,0.660079,0.373629,0.366541,0.527437,0.483587,0.457668,0.564528,0.311632,0.373993,0.69242,0.404584,1
0.354744,0.555426,0.438004,0.326178,0.559553,0.372156,0.541597,0.629692,0.372031,0.682716,0.332847,0.210649,0.441787,0.20404,0.563722,0.381804,0.594905,0.378623,0.393826,0.314347,1
0.777322,0.609064,0.431611,0.725491,0.382904,0.594055,0.444671,0.671959,0.327235,0.622736,0.45346,0.741016,0.240022,0.377636,0.787395,0.208487,0.78401,0.589041,0.607145,0.690031,0
0.857433,0.49708,0.599063,0.482941,0.461977,0.733212,0.64655,0.507145,0.332639,0.521732,0.579276,0.497349,0.365404,0.574629,0.809668,0.430725,0.645061,0.394262,0.676115,0.532231,0
0.179167,0.645304,0.773236,0.463586,0.373018,0.169333,0.260164,0.498922,0.434652,0.566101,0.451165,0.484813,0.581159,0.541515,0.463023,0.354266,0.47907,0.569622,0.43219,0.449188,1
0.592113,0.383628,0.315173,0.386672,0.356399,0.584529,0.307442,0.514208,0.464029,0.638516,0.397058,0.442715,0.407336,0.523735,0.657246,0.461437,0.310092,0.502327,0.318035,0.387492,1
0.398025,0.569212,0.675754,0.227835,0.385752,0.724649,0.546289,0.648699,0.598282,0.5495,0.639607,0.506662,0.400735,0.532174,0.600086,0.349896,0.586504,0.480643,0.632803,0.707061,0
0.645805,0.461237,0.40643,0.506689,0.377092,0.557128,0.513121,0.514587,0.708935,0.502052,0.473583,0.548968,0.468007,0.400557,0.546072,0.268702,0.366797,0.805824,0.549043,0.625557,0
0.283013,0.302058,0.480858,0.340476,0.442939,0.627794,0.482262,0.192317,0.607616,0.376431,0.385469,0.394393,0.545957,0.474058,0.354374,0.19932,0.335464,0.459352,0.57604,0.329071,1
0.586722,0.451991,0.497721,0.50621,0.140815,0.522939,0.553203,0.64755,0.476337,0.357826,0.405716,0.584497,0.656248,0.466647,0.408429,0.53646,0.497619,0.317313,0.597518,0.384652,0
0.496429,0.476444,0.530275,0.313378,0.60142,0.552228,0.369441,0.521151,0.480601,0.451079,0.473708,0.419268,0.436558,0.536801,0.438196,0.316439,0.514838,0.488179,0.244814,0.424815,1
0.593671,0.341055,0.369328,0.301632,0.389826,0.298752,0.363223,0.438466,0.183599,0.55107,0.604526,0.536051,0.434151,0.292725,0.396589,0.411509,0.191519,0.397463,0.403618,0.301559,1
0.757572,0.365388,0.493724,0.507548,0.301265,0.279876,0.303545,0.546201,0.423125,0.45114,0.514615,0.500523,0.571466,0.561151,0.331452,0.227992,0.678494,0.470509,0.709044,0.289255,1
