@relation marketing-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Sex numeric
@attribute MaritalStatus numeric
@attribute Age numeric
@attribute Education numeric
@attribute Occupation numeric
@attribute YearsInSf numeric
@attribute DualIncome numeric
@attribute HouseholdMembers numeric
@attribute Under18 numeric
@attribute HouseholdStatus numeric
@attribute TypeOfHome numeric
@attribute EthnicClass numeric
@attribute Language numeric
@attribute Income {1,2,3,4,5,6,7,8,9}

@data
0,0,0.666667,0.8,0.5,1,1,0.5,0.222222,0,0,0.857143,0,9
1,0,0.333333,0.8,0,1,0.5,0.25,0.111111,0.5,0.5,0.857143,0,9
1,1,0,0.2,0.625,1,0,0.375,0.222222,1,0,0.857143,0,1
1,1,0,0.2,0.625,0.5,0,0.375,0.222222,1,0,0.857143,0,1
0,0,0.833333,0.6,0.875,1,1,0.125,0,0,0,0.857143,0,8
0,1,0.166667,0.4,1,0.75,0,0.25,0.111111,0.5,0.5,0.857143,0,1
0,0.5,0.333333,0.6,0.25,1,0,0,0,0.5,0.5,0.857143,0,6
0,0,0.833333,0.4,0.875,1,1,0.25,0,0.5,0.5,0.857143,0,2
0,0,1,0.6,0.875,0.75,1,0.125,0,0.5,0.5,0.857143,0,4
0,1,0.166667,0.6,1,1,0,0,0,0.5,0.5,0.857143,0,1
1,0.25,0.166667,0.4,0.125,1,0,0.125,0,0,0,0.571429,0,4
1,0,0.333333,1,0.625,0.25,0.5,0.375,0.222222,0,0,0.857143,0,8
1,0,0.666667,0.4,0.5,1,1,0.375,0,0.5,0,0.857143,0,7
1,0,0.666667,0.6,0,1,0.5,0.125,0.222222,0,0,0.857143,0,7
1,0.5,0.333333,0.4,0.125,0.25,0,0.125,0.111111,0.5,0.5,0.857143,0,1
1,0,0.666667,0.4,0.5,0,1,0.125,0,0.5,0.5,0.857143,0,8
0,0.5,0.5,0.2,0.25,0.75,0,0.125,0,0.5,0.5,0.857143,0,2
1,0,0.5,0.6,0.125,1,1,0.5,0.333333,0,0,0.571429,0.5,9
0,0,0.5,0.6,0,1,1,0.5,0.333333,0,0,0.857143,0,8
1,0.5,0.666667,0.6,0.125,0.5,0,0.25,0,0.5,1,0.857143,0,4
1,1,0,0.2,0.625,1,0,0.375,0.111111,1,0,0.857143,0,1
0,0,0.333333,0.8,0,1,0.5,0.25,0.111111,0.5,0.5,0.857143,0,9
0,0,0.5,0.6,0,1,0.5,0.25,0,0,0,0.857143,0,7
0,0,0.5,0.6,0,1,0.5,0.25,0.111111,0,0,0.857143,0,9
1,0.5,1,0.4,0.875,1,0,0,0,0,1,0.857143,0,4
1,0.5,0.5,0.8,0,0.75,0,0.5,0.333333,0,0,0.857143,0,6
1,0,0.5,0.6,0,0.75,0.5,0.375,0.222222,0.5,0,0.857143,0,8
1,1,0,0.2,0.625,1,0,0.375,0.222222,1,0,0.857143,0,1
1,1,0,0.2,0.625,1,0,0.25,0.111111,1,0,0.857143,0,1
0,1,0,0.2,0.625,1,0,0.625,0.444444,1,0,0.857143,0,1
1,0,1,0.4,0.5,1,1,0.125,0,0,0,0.857143,0,2
1,0,0.5,0.4,0.5,0,1,0.25,0.111111,0,0,0.857143,0,8
0,0,0.666667,1,0,1,0.5,0.375,0,0,0,0.857143,0,9
1,0.5,0.5,0.8,0,0.5,0,0.125,0.111111,0.5,0.5,0.142857,1,5
1,0.75,0.833333,1,0,0,0,0,0,0.5,0.5,0.857143,0,2
0,1,0,0.2,0.625,1,0,0.5,0.222222,1,0,0.857143,0,1
1,0,0.5,0.6,0,1,0.5,0.5,0.333333,0,0,0.857143,0,8
1,0,0.666667,0.6,0.5,1,1,0.25,0,0,0,0.857143,0,8
1,1,0.166667,0.2,0.625,0.25,0,0.25,0,1,0,0.285714,0,2
1,0,0.833333,0.6,0.125,1,0.5,0.375,0.222222,0.5,0,0.857143,0,6
1,0,0.666667,0.6,0.5,1,1,0.25,0,0,0,0.857143,0,8
1,0,0.333333,0.4,0.5,1,1,0.5,0.333333,0,0,0.571429,0,6
1,1,0,0.2,0.125,1,0,0.25,0.111111,1,0.25,0.857143,0,4
0,0.5,0.666667,0.6,0,1,0,0,0,0.5,0.25,0.857143,0,7
0,0,0,0.8,0.875,1,0.5,0.25,0,0.5,0,0.285714,0.5,3
0,1,0,0,0.625,1,0,0.375,0.222222,1,0,0.857143,0,1
1,0,0.5,0.6,0,1,0.5,0.125,0,0,0,0.857143,0,9
1,0,0.833333,1,0.5,1,1,0.125,0,0,0,0.857143,0,8
1,0.5,0.666667,0.6,0,0.25,0,0,0,0,0,0.857143,0,1
0,0,0.333333,0.6,0.25,1,0.5,0.25,0.111111,0,0,0.857143,0,8
0,0.5,0.5,0.4,0.25,1,0,0,0,0,0,1,0,4
1,0,0.333333,0.8,0,0.75,0.5,0.25,0.111111,0,0.25,0.857143,0,8
0,0,1,0.6,0.875,1,0.5,0.375,0.222222,0,0,0.857143,0,7
0,1,0,0.2,0.625,1,0,0.5,0.333333,1,0,0.571429,0,1
0,1,0,0.2,0.625,1,0,0.5,0.333333,1,0,0.857143,0,1
1,0,0.5,0.6,0.5,0.75,1,0.375,0.222222,0,0,0.142857,1,7
0,1,0,0,0.625,1,0,0.25,0,1,0,0.857143,0,1
1,0.5,0.5,0.2,0,1,0,0.125,0,1,0,0.857143,0,3
1,0,0.5,0.6,0.5,1,1,0.375,0.222222,0,0,0.857143,0,9
1,0,0.333333,0.6,0.5,0.25,1,0.375,0.222222,0,0.25,0.857143,0,8
0,1,0,0.2,0.375,1,0,0.5,0.333333,1,0,0.857143,0,1
1,1,0.333333,0.8,0,1,0,0.375,0,0.5,0,0.285714,1,4
1,0.25,0.166667,0.8,0,0.75,0,0.125,0,0.5,0.5,0.857143,0,8
0,0,0.333333,0.8,0.625,0.25,1,0.25,0,0.5,0,0.857143,0,5
0,0,0.833333,0.8,0,1,0.5,0.125,0,0,0,0.857143,0,9
1,0,0.166667,0.2,0.5,0.5,1,0.375,0.222222,0.5,0.5,0.857143,0,2
1,0,0.5,1,0.5,0.25,1,0.375,0.111111,0,0,0.857143,0,9
0,0,0.333333,0.6,0,0.5,0.5,0.125,0,0.5,0.5,0.142857,0,4
0,1,0.166667,0.6,0.625,0.75,0,0.125,0,0.5,0.5,0.857143,0,3
1,0,0.166667,0.6,0.125,1,0.5,0.125,0,0.5,0.5,0.857143,0,5
1,1,0.166667,0.6,0.625,0.5,0,0.375,0,1,0,0.857143,0,9
1,0,0.833333,0.6,0.375,1,0.5,0.125,0,0,0,0.857143,0,8
0,1,0.166667,0.6,0.625,1,0,0.25,0,1,0,0.857143,0,9
0,1,0.166667,0.6,0.625,1,0,0.375,0,0,0,0.571429,0,9
1,0,0.833333,0.6,0.5,0.25,0,0.125,0,0,1,0.857143,1,7
1,0,0.833333,0.4,0.125,1,0.5,0.125,0,0,0,0.857143,0,8
0,0,1,0.4,0.875,1,1,0.125,0,0,0.75,0.857143,0,3
1,0,0.833333,0.6,0.875,1,1,0.125,0,0,0.25,0.857143,0,7
1,0.5,1,0.4,0.875,1,0,0.125,0,0,0,0.857143,0,1
1,0,0.666667,1,0,1,0.5,0.375,0.222222,0,0,0.857143,0,9
1,0,0.666667,1,0,0.25,0.5,0.25,0,0,0,0.428571,1,8
1,0,0.5,0.4,0.5,1,1,0.125,0,0,0,1,0.5,7
1,1,0,0.4,1,0.75,0,0.25,0.111111,1,0,0.857143,0,5
0,1,0.166667,0.4,0.625,1,0,0.125,0,1,0,0.857143,0,6
0,1,0,0.2,0.125,1,0,0.25,0.111111,1,0,0.857143,0,8
0,1,0,0.2,0.625,1,0,0.5,0.333333,1,0,0.857143,0,1
1,1,0.166667,0.4,0,1,0,0.125,0,1,0.5,0.857143,0,1
1,0,0.833333,0.6,0,1,0.5,0.625,0,0,0,0,0,7
1,0,0.666667,0.6,0.5,1,1,0.375,0,0,0,0.857143,0,6
0,1,0.166667,0.2,0.625,1,0,0.5,0.111111,1,0,0.857143,0,9
1,0.25,0.333333,0.4,0.375,0.25,0,0.25,0.111111,0.5,0.5,0,0,4
1,0,1,0.6,0.875,1,1,0.125,0,0,0,0.857143,0,5
1,0,0.166667,0.8,0.125,0.25,0.5,0.125,0,0.5,0,0.857143,0,3
0,1,0.666667,1,0,0,0,0,0,0.5,0.25,0.857143,0,6
1,0,0.333333,0.8,0.5,0.5,1,0.25,0.111111,0,0,0.857143,0,9
1,0.25,0.666667,0.6,0,1,0,0.125,0,0,0,0.857143,0,8
1,0,0.5,0.8,0.375,0.5,0.5,0.375,0.222222,0,0,0.857143,0,8
1,0.5,0.333333,0.6,0.5,1,0,0.375,0.333333,0.5,0.25,0.857143,0,6
1,0,0.666667,1,0.375,1,1,0.25,0,0,0,0.857143,0,4
1,0,0.666667,0.8,0,1,0.5,0.125,0,0,0,0.857143,0,9
0,1,0,0,1,1,0,0.5,0.333333,1,0,0.571429,0,1
1,0,0.666667,0.6,0,0.75,0.5,0.5,0.111111,0,0,0.857143,0,8
1,0,0.833333,0.6,0,1,1,0.125,0,0,0,0.857143,0,8
1,0,0.666667,1,0.5,0.25,1,0.25,0,0,0,0.857143,0,9
1,1,0,0.2,0.625,0.5,0,0.5,0.333333,1,0.5,0.142857,1,1
0,0,0.5,0.6,0,0.75,0.5,0.625,0.222222,0.5,0,0.857143,0,7
0,0,0.5,1,0,0.5,0.5,0.5,0.333333,0,0,0.857143,0,9
