,,ENN,LSSm,ENANE,base
0.05,f1-score,2.6666666666666665,2.25,2.611111111111111,2.4722222222222223
0.1,f1-score,2.2222222222222223,2.7777777777777777,2.2222222222222223,2.7777777777777777
0.15,f1-score,2.7777777777777777,2.4444444444444446,2.2777777777777777,2.5
0.2,f1-score,2.8333333333333335,2.611111111111111,2.2222222222222223,2.3333333333333335
0.25,f1-score,2.611111111111111,2.2777777777777777,2.6666666666666665,2.4444444444444446
0.3,f1-score,2.5,2.7777777777777777,2.4444444444444446,2.2777777777777777
0.35,f1-score,2.6944444444444446,2.361111111111111,2.5555555555555554,2.388888888888889
0.05,mean squared error,2.6666666666666665,2.388888888888889,2.888888888888889,2.0555555555555554
0.1,mean squared error,2.138888888888889,2.9444444444444446,2.0277777777777777,2.888888888888889
0.15,mean squared error,2.8055555555555554,2.3055555555555554,2.8333333333333335,2.0555555555555554
0.2,mean squared error,2.5833333333333335,2.6666666666666665,1.9166666666666667,2.8333333333333335
0.25,mean squared error,2.5833333333333335,2.25,2.5,2.6666666666666665
0.3,mean squared error,2.9166666666666665,2.3333333333333335,2.5833333333333335,2.1666666666666665
0.35,mean squared error,2.6666666666666665,2.611111111111111,2.1666666666666665,2.5555555555555554
0.05,accuracy score,2.6666666666666665,2.2777777777777777,2.6666666666666665,2.388888888888889
0.1,accuracy score,2.25,2.7222222222222223,2.1944444444444446,2.8333333333333335
0.15,accuracy score,2.9166666666666665,2.4722222222222223,2.361111111111111,2.25
0.2,accuracy score,2.861111111111111,2.7222222222222223,1.9166666666666667,2.5
0.25,accuracy score,2.5833333333333335,2.2222222222222223,2.6666666666666665,2.5277777777777777
0.3,accuracy score,2.5555555555555554,2.7777777777777777,2.3333333333333335,2.3333333333333335
0.35,accuracy score,2.6666666666666665,2.4722222222222223,2.4166666666666665,2.4444444444444446
