dataset,percent labeled,fold,base,filter,f1-score,mean squared error,accuracy score
BreastTissue.csv,0.1,0,KNeighborsClassifier,base,0.44848484848484843,1.2727272727272727,0.5454545454545454
BreastTissue.csv,0.1,1,KNeighborsClassifier,base,0.22626262626262628,3.8181818181818183,0.36363636363636365
BreastTissue.csv,0.1,2,KNeighborsClassifier,base,0.23636363636363636,4.909090909090909,0.36363636363636365
BreastTissue.csv,0.1,3,KNeighborsClassifier,base,0.2727272727272727,3.3636363636363638,0.36363636363636365
BreastTissue.csv,0.1,4,KNeighborsClassifier,base,0.18181818181818182,2.3636363636363638,0.18181818181818182
BreastTissue.csv,0.1,5,KNeighborsClassifier,base,0.6519480519480519,1.0909090909090908,0.7272727272727273
BreastTissue.csv,0.1,6,KNeighborsClassifier,base,0.05714285714285715,7.2,0.1
BreastTissue.csv,0.1,7,KNeighborsClassifier,base,0.3642857142857143,1.1,0.5
BreastTissue.csv,0.1,8,KNeighborsClassifier,base,0.01818181818181818,3.7,0.1
BreastTissue.csv,0.1,9,KNeighborsClassifier,base,0.31666666666666665,4.0,0.4
BreastTissue.csv,0.1,0,DecisionTreeClassifier,base,0.2727272727272727,2.1818181818181817,0.2727272727272727
BreastTissue.csv,0.1,1,DecisionTreeClassifier,base,0.32727272727272727,3.0,0.45454545454545453
BreastTissue.csv,0.1,2,DecisionTreeClassifier,base,0.23376623376623373,4.545454545454546,0.2727272727272727
BreastTissue.csv,0.1,3,DecisionTreeClassifier,base,0.32727272727272727,2.5454545454545454,0.36363636363636365
BreastTissue.csv,0.1,4,DecisionTreeClassifier,base,0.4588744588744589,2.272727272727273,0.45454545454545453
BreastTissue.csv,0.1,5,DecisionTreeClassifier,base,0.5212121212121211,1.5454545454545454,0.5454545454545454
BreastTissue.csv,0.1,6,DecisionTreeClassifier,base,0.42666666666666664,1.1,0.5
BreastTissue.csv,0.1,7,DecisionTreeClassifier,base,0.76,0.5,0.8
BreastTissue.csv,0.1,8,DecisionTreeClassifier,base,0.3433333333333334,1.7,0.4
BreastTissue.csv,0.1,9,DecisionTreeClassifier,base,0.3333333333333333,3.3,0.3
BreastTissue.csv,0.1,0,GaussianNB,base,0.11688311688311687,4.454545454545454,0.2727272727272727
BreastTissue.csv,0.1,1,GaussianNB,base,0.2545454545454545,1.9090909090909092,0.36363636363636365
BreastTissue.csv,0.1,2,GaussianNB,base,0.2818181818181818,3.272727272727273,0.36363636363636365
BreastTissue.csv,0.1,3,GaussianNB,base,0.06611570247933883,4.7272727272727275,0.18181818181818182
BreastTissue.csv,0.1,4,GaussianNB,base,0.24999999999999997,4.2727272727272725,0.36363636363636365
BreastTissue.csv,0.1,5,GaussianNB,base,0.28571428571428575,3.727272727272727,0.45454545454545453
BreastTissue.csv,0.1,6,GaussianNB,base,0.3733333333333333,1.9,0.5
BreastTissue.csv,0.1,7,GaussianNB,base,0.14666666666666667,4.5,0.3
BreastTissue.csv,0.1,8,GaussianNB,base,0.3433333333333334,3.8,0.5
BreastTissue.csv,0.1,9,GaussianNB,base,0.15333333333333332,3.6,0.2
Modeling.csv,0.1,0,KNeighborsClassifier,base,0.6616318903768297,0.8846153846153846,0.6923076923076923
Modeling.csv,0.1,1,KNeighborsClassifier,base,0.5112460638776427,1.7307692307692308,0.5384615384615384
Modeling.csv,0.1,2,KNeighborsClassifier,base,0.7876518218623482,0.8846153846153846,0.7692307692307693
Modeling.csv,0.1,3,KNeighborsClassifier,base,0.5394762100644453,1.1923076923076923,0.6153846153846154
Modeling.csv,0.1,4,KNeighborsClassifier,base,0.41298294465715285,1.7692307692307692,0.46153846153846156
Modeling.csv,0.1,5,KNeighborsClassifier,base,0.5912753912753913,0.7692307692307693,0.5769230769230769
Modeling.csv,0.1,6,KNeighborsClassifier,base,0.611336032388664,1.3076923076923077,0.6538461538461539
Modeling.csv,0.1,7,KNeighborsClassifier,base,0.5827863777089783,1.28,0.6
Modeling.csv,0.1,8,KNeighborsClassifier,base,0.6899271708683474,0.76,0.72
Modeling.csv,0.1,9,KNeighborsClassifier,base,0.725873015873016,0.96,0.76
Modeling.csv,0.1,0,DecisionTreeClassifier,base,0.33135369532428355,1.1153846153846154,0.34615384615384615
Modeling.csv,0.1,1,DecisionTreeClassifier,base,0.4538461538461539,1.0384615384615385,0.5
Modeling.csv,0.1,2,DecisionTreeClassifier,base,0.5674962292609351,1.4615384615384615,0.5769230769230769
Modeling.csv,0.1,3,DecisionTreeClassifier,base,0.7013736263736263,1.4230769230769231,0.6538461538461539
Modeling.csv,0.1,4,DecisionTreeClassifier,base,0.5355029585798816,1.0,0.5769230769230769
Modeling.csv,0.1,5,DecisionTreeClassifier,base,0.46191553544494723,1.7307692307692308,0.4230769230769231
Modeling.csv,0.1,6,DecisionTreeClassifier,base,0.6740641711229945,1.0769230769230769,0.6923076923076923
Modeling.csv,0.1,7,DecisionTreeClassifier,base,0.6051336898395722,1.08,0.6
Modeling.csv,0.1,8,DecisionTreeClassifier,base,0.72,0.64,0.72
Modeling.csv,0.1,9,DecisionTreeClassifier,base,0.5173333333333333,1.84,0.52
Modeling.csv,0.1,0,GaussianNB,base,0.4561872909698997,1.2307692307692308,0.5769230769230769
Modeling.csv,0.1,1,GaussianNB,base,0.3282051282051282,1.6153846153846154,0.4230769230769231
Modeling.csv,0.1,2,GaussianNB,base,0.8245932988580047,0.6153846153846154,0.8076923076923077
Modeling.csv,0.1,3,GaussianNB,base,0.6678321678321678,0.8846153846153846,0.6923076923076923
