,dataset,percent labeled,fold,base,filter,f1-score,mean squared error,accuracy score
0,BreastTissue.csv,0.35,0,KNeighborsClassifier,ENN,0.6272727272727273,2.5454545454545454,0.6363636363636364
1,BreastTissue.csv,0.35,1,KNeighborsClassifier,ENN,0.4848484848484848,1.2727272727272727,0.5454545454545454
2,BreastTissue.csv,0.35,2,KNeighborsClassifier,ENN,0.4,5.636363636363637,0.4545454545454545
3,BreastTissue.csv,0.35,3,KNeighborsClassifier,ENN,0.5818181818181818,3.090909090909091,0.6363636363636364
4,BreastTissue.csv,0.35,4,KNeighborsClassifier,ENN,0.4519480519480519,1.7272727272727273,0.5454545454545454
5,BreastTissue.csv,0.35,5,KNeighborsClassifier,ENN,0.8181818181818182,0.7272727272727273,0.8181818181818182
6,BreastTissue.csv,0.35,6,KNeighborsClassifier,ENN,0.58,1.0,0.6
7,BreastTissue.csv,0.35,7,KNeighborsClassifier,ENN,0.6,1.0,0.6
8,BreastTissue.csv,0.35,8,KNeighborsClassifier,ENN,0.6933333333333332,2.1,0.7
9,BreastTissue.csv,0.35,9,KNeighborsClassifier,ENN,0.6476190476190476,0.6,0.7
20,BreastTissue.csv,0.35,0,KNeighborsClassifier,ENANE,0.4666666666666667,1.818181818181818,0.5454545454545454
21,BreastTissue.csv,0.35,1,KNeighborsClassifier,ENANE,0.4614718614718615,2.363636363636364,0.5454545454545454
22,BreastTissue.csv,0.35,2,KNeighborsClassifier,ENANE,0.4575757575757576,2.8181818181818183,0.5454545454545454
23,BreastTissue.csv,0.35,3,KNeighborsClassifier,ENANE,0.5757575757575757,4.090909090909091,0.6363636363636364
24,BreastTissue.csv,0.35,4,KNeighborsClassifier,ENANE,0.5367965367965367,0.9090909090909092,0.6363636363636364
25,BreastTissue.csv,0.35,5,KNeighborsClassifier,ENANE,0.4909090909090909,1.2727272727272727,0.5454545454545454
26,BreastTissue.csv,0.35,6,KNeighborsClassifier,ENANE,0.4599999999999999,1.4,0.5
27,BreastTissue.csv,0.35,7,KNeighborsClassifier,ENANE,0.6833333333333333,0.9,0.7
28,BreastTissue.csv,0.35,8,KNeighborsClassifier,ENANE,0.7533333333333333,1.3,0.8
29,BreastTissue.csv,0.35,9,KNeighborsClassifier,ENANE,0.64,0.9,0.7
30,BreastTissue.csv,0.35,0,DecisionTreeClassifier,ENN,0.4848484848484849,4.181818181818182,0.5454545454545454
31,BreastTissue.csv,0.35,1,DecisionTreeClassifier,ENN,0.4484848484848485,1.3636363636363635,0.4545454545454545
32,BreastTissue.csv,0.35,2,DecisionTreeClassifier,ENN,0.4121212121212121,4.545454545454546,0.4545454545454545
33,BreastTissue.csv,0.35,3,DecisionTreeClassifier,ENN,0.7272727272727272,0.5454545454545454,0.7272727272727273
34,BreastTissue.csv,0.35,4,DecisionTreeClassifier,ENN,0.3675324675324676,1.5454545454545454,0.4545454545454545
35,BreastTissue.csv,0.35,5,DecisionTreeClassifier,ENN,0.3696969696969697,1.181818181818182,0.3636363636363636
