dataset,percent labeled,fold,base,filter,f1-score,mean squared error,accuracy score
BreastTissue.csv,0.05,0,KNeighborsClassifier,ENN,0.0,6.363636363636363,0.0
BreastTissue.csv,0.05,1,KNeighborsClassifier,ENN,0.21818181818181823,4.909090909090909,0.36363636363636365
BreastTissue.csv,0.05,2,KNeighborsClassifier,ENN,0.055944055944055944,4.818181818181818,0.18181818181818182
BreastTissue.csv,0.05,3,KNeighborsClassifier,ENN,0.0,8.181818181818182,0.0
BreastTissue.csv,0.05,4,KNeighborsClassifier,ENN,0.0202020202020202,4.090909090909091,0.09090909090909091
BreastTissue.csv,0.05,5,KNeighborsClassifier,ENN,0.3168831168831169,2.909090909090909,0.36363636363636365
BreastTissue.csv,0.05,6,KNeighborsClassifier,ENN,0.22222222222222224,2.9,0.3
BreastTissue.csv,0.05,7,KNeighborsClassifier,ENN,0.24888888888888888,5.8,0.4
BreastTissue.csv,0.05,8,KNeighborsClassifier,ENN,0.08888888888888889,7.6,0.2
BreastTissue.csv,0.05,9,KNeighborsClassifier,ENN,0.019999999999999997,4.0,0.1
BreastTissue.csv,0.05,0,KNeighborsClassifier,LSSm,0.14545454545454548,4.545454545454546,0.18181818181818182
BreastTissue.csv,0.05,1,KNeighborsClassifier,LSSm,0.07272727272727274,7.181818181818182,0.18181818181818182
BreastTissue.csv,0.05,2,KNeighborsClassifier,LSSm,0.21818181818181823,4.909090909090909,0.36363636363636365
BreastTissue.csv,0.05,3,KNeighborsClassifier,LSSm,0.20202020202020202,2.272727272727273,0.36363636363636365
BreastTissue.csv,0.05,4,KNeighborsClassifier,LSSm,0.015151515151515154,3.0,0.09090909090909091
BreastTissue.csv,0.05,5,KNeighborsClassifier,LSSm,0.0,7.363636363636363,0.0
BreastTissue.csv,0.05,6,KNeighborsClassifier,LSSm,0.2285714285714286,7.4,0.4
BreastTissue.csv,0.05,7,KNeighborsClassifier,LSSm,0.1142857142857143,3.3,0.2
BreastTissue.csv,0.05,8,KNeighborsClassifier,LSSm,0.24888888888888888,5.8,0.4
BreastTissue.csv,0.05,9,KNeighborsClassifier,LSSm,0.0,8.2,0.0
BreastTissue.csv,0.05,0,KNeighborsClassifier,ENANE,0.055944055944055944,7.818181818181818,0.18181818181818182
BreastTissue.csv,0.05,1,KNeighborsClassifier,ENANE,0.055944055944055944,8.545454545454545,0.18181818181818182
BreastTissue.csv,0.05,2,KNeighborsClassifier,ENANE,0.34747474747474744,4.545454545454546,0.45454545454545453
BreastTissue.csv,0.05,3,KNeighborsClassifier,ENANE,0.1212121212121212,3.090909090909091,0.18181818181818182
BreastTissue.csv,0.05,4,KNeighborsClassifier,ENANE,0.31457431457431456,1.6363636363636365,0.45454545454545453
BreastTissue.csv,0.05,5,KNeighborsClassifier,ENANE,0.31457431457431456,4.181818181818182,0.45454545454545453
BreastTissue.csv,0.05,6,KNeighborsClassifier,ENANE,0.27999999999999997,5.5,0.4
BreastTissue.csv,0.05,7,KNeighborsClassifier,ENANE,0.3583333333333333,2.0,0.4
BreastTissue.csv,0.05,8,KNeighborsClassifier,ENANE,0.06666666666666668,5.7,0.2
BreastTissue.csv,0.05,9,KNeighborsClassifier,ENANE,0.27999999999999997,5.5,0.4
BreastTissue.csv,0.05,0,DecisionTreeClassifier,ENN,0.4761904761904762,2.3636363636363638,0.5454545454545454
BreastTissue.csv,0.05,1,DecisionTreeClassifier,ENN,0.15353535353535355,2.4545454545454546,0.2727272727272727
BreastTissue.csv,0.05,2,DecisionTreeClassifier,ENN,0.07272727272727274,6.0,0.18181818181818182
BreastTissue.csv,0.05,3,DecisionTreeClassifier,ENN,0.18181818181818182,3.272727272727273,0.18181818181818182
BreastTissue.csv,0.05,4,DecisionTreeClassifier,ENN,0.1696969696969697,2.090909090909091,0.18181818181818182
BreastTissue.csv,0.05,5,DecisionTreeClassifier,ENN,0.29545454545454547,2.5454545454545454,0.36363636363636365
BreastTissue.csv,0.05,6,DecisionTreeClassifier,ENN,0.18333333333333332,4.7,0.2
BreastTissue.csv,0.05,7,DecisionTreeClassifier,ENN,0.1142857142857143,3.0,0.2
BreastTissue.csv,0.05,8,DecisionTreeClassifier,ENN,0.21000000000000002,3.1,0.3
BreastTissue.csv,0.05,9,DecisionTreeClassifier,ENN,0.10857142857142858,1.4,0.2
BreastTissue.csv,0.05,0,DecisionTreeClassifier,LSSm,0.3608815426997245,4.545454545454546,0.45454545454545453
BreastTissue.csv,0.05,1,DecisionTreeClassifier,LSSm,0.1212121212121212,4.818181818181818,0.18181818181818182
BreastTissue.csv,0.05,2,DecisionTreeClassifier,LSSm,0.3,2.6363636363636362,0.36363636363636365
BreastTissue.csv,0.05,3,DecisionTreeClassifier,LSSm,0.36363636363636365,2.8181818181818183,0.36363636363636365
BreastTissue.csv,0.05,4,DecisionTreeClassifier,LSSm,0.12587412587412586,6.636363636363637,0.2727272727272727
BreastTissue.csv,0.05,5,DecisionTreeClassifier,LSSm,0.23376623376623373,3.1818181818181817,0.2727272727272727
BreastTissue.csv,0.05,6,DecisionTreeClassifier,LSSm,0.05,2.6,0.1
BreastTissue.csv,0.05,7,DecisionTreeClassifier,LSSm,0.02857142857142857,2.7,0.1
BreastTissue.csv,0.05,8,DecisionTreeClassifier,LSSm,0.28888888888888886,3.2,0.3
BreastTissue.csv,0.05,9,DecisionTreeClassifier,LSSm,0.10500000000000001,3.0,0.2
BreastTissue.csv,0.05,0,DecisionTreeClassifier,ENANE,0.15584415584415587,3.090909090909091,0.18181818181818182
BreastTissue.csv,0.05,1,DecisionTreeClassifier,ENANE,0.27012987012987016,5.909090909090909,0.36363636363636365
BreastTissue.csv,0.05,2,DecisionTreeClassifier,ENANE,0.22727272727272727,3.090909090909091,0.2727272727272727
BreastTissue.csv,0.05,3,DecisionTreeClassifier,ENANE,0.045454545454545456,3.090909090909091,0.09090909090909091
BreastTissue.csv,0.05,4,DecisionTreeClassifier,ENANE,0.13636363636363635,4.454545454545454,0.18181818181818182
BreastTissue.csv,0.05,5,DecisionTreeClassifier,ENANE,0.11255411255411256,1.6363636363636365,0.18181818181818182
BreastTissue.csv,0.05,6,DecisionTreeClassifier,ENANE,0.2733333333333333,0.9,0.4
BreastTissue.csv,0.05,7,DecisionTreeClassifier,ENANE,0.1142857142857143,3.0,0.2
BreastTissue.csv,0.05,8,DecisionTreeClassifier,ENANE,0.13714285714285715,4.3,0.2
BreastTissue.csv,0.05,9,DecisionTreeClassifier,ENANE,0.36666666666666664,2.6,0.4
BreastTissue.csv,0.05,0,GaussianNB,ENN,0.055944055944055944,3.090909090909091,0.18181818181818182
BreastTissue.csv,0.05,1,GaussianNB,ENN,0.055944055944055944,3.3636363636363638,0.18181818181818182
BreastTissue.csv,0.05,2,GaussianNB,ENN,0.055944055944055944,3.3636363636363638,0.18181818181818182
BreastTissue.csv,0.05,3,GaussianNB,ENN,0.055944055944055944,8.545454545454545,0.18181818181818182
BreastTissue.csv,0.05,4,GaussianNB,ENN,0.18181818181818182,4.363636363636363,0.2727272727272727
BreastTissue.csv,0.05,5,GaussianNB,ENN,0.11717171717171718,4.909090909090909,0.2727272727272727
BreastTissue.csv,0.05,6,GaussianNB,ENN,0.01818181818181818,3.7,0.1
BreastTissue.csv,0.05,7,GaussianNB,ENN,0.06666666666666668,9.7,0.2
BreastTissue.csv,0.05,8,GaussianNB,ENN,0.06666666666666668,5.7,0.2
BreastTissue.csv,0.05,9,GaussianNB,ENN,0.06666666666666668,9.7,0.2
BreastTissue.csv,0.05,0,GaussianNB,LSSm,0.055944055944055944,7.818181818181818,0.18181818181818182
BreastTissue.csv,0.05,1,GaussianNB,LSSm,0.09090909090909091,3.090909090909091,0.18181818181818182
BreastTissue.csv,0.05,2,GaussianNB,LSSm,0.055944055944055944,8.545454545454545,0.18181818181818182
BreastTissue.csv,0.05,3,GaussianNB,LSSm,0.055944055944055944,3.3636363636363638,0.18181818181818182
BreastTissue.csv,0.05,4,GaussianNB,LSSm,0.015151515151515154,3.0,0.09090909090909091
BreastTissue.csv,0.05,5,GaussianNB,LSSm,0.015151515151515154,3.0,0.09090909090909091
BreastTissue.csv,0.05,6,GaussianNB,LSSm,0.06666666666666668,9.7,0.2
BreastTissue.csv,0.05,7,GaussianNB,LSSm,0.06666666666666668,9.7,0.2
BreastTissue.csv,0.05,8,GaussianNB,LSSm,0.06666666666666668,5.7,0.2
BreastTissue.csv,0.05,9,GaussianNB,LSSm,0.1142857142857143,3.0,0.2
BreastTissue.csv,0.05,0,GaussianNB,ENANE,0.11688311688311687,4.454545454545454,0.2727272727272727
BreastTissue.csv,0.05,1,GaussianNB,ENANE,0.055944055944055944,3.090909090909091,0.18181818181818182
BreastTissue.csv,0.05,2,GaussianNB,ENANE,0.055944055944055944,3.090909090909091,0.18181818181818182
BreastTissue.csv,0.05,3,GaussianNB,ENANE,0.055944055944055944,8.545454545454545,0.18181818181818182
BreastTissue.csv,0.05,4,GaussianNB,ENANE,0.2303030303030303,2.727272727272727,0.36363636363636365
BreastTissue.csv,0.05,5,GaussianNB,ENANE,0.11688311688311687,7.363636363636363,0.2727272727272727
BreastTissue.csv,0.05,6,GaussianNB,ENANE,0.01818181818181818,3.7,0.1
BreastTissue.csv,0.05,7,GaussianNB,ENANE,0.01818181818181818,3.7,0.1
BreastTissue.csv,0.05,8,GaussianNB,ENANE,0.24888888888888888,5.8,0.4
BreastTissue.csv,0.05,9,GaussianNB,ENANE,0.06666666666666668,9.7,0.2
Modeling.csv,0.05,0,KNeighborsClassifier,ENN,0.6327134404057482,1.5,0.6153846153846154
Modeling.csv,0.05,1,KNeighborsClassifier,ENN,0.4743589743589744,1.7692307692307692,0.5769230769230769
Modeling.csv,0.05,2,KNeighborsClassifier,ENN,0.7334560176665441,0.6923076923076923,0.7692307692307693
Modeling.csv,0.05,3,KNeighborsClassifier,ENN,0.14251265975403907,2.230769230769231,0.23076923076923078
Modeling.csv,0.05,4,KNeighborsClassifier,ENN,0.3597285067873303,2.1538461538461537,0.46153846153846156
Modeling.csv,0.05,5,KNeighborsClassifier,ENN,0.38461538461538464,1.3076923076923077,0.5
Modeling.csv,0.05,6,KNeighborsClassifier,ENN,0.45454545454545453,1.3461538461538463,0.5769230769230769
Modeling.csv,0.05,7,KNeighborsClassifier,ENN,0.5328342245989305,1.32,0.56
Modeling.csv,0.05,8,KNeighborsClassifier,ENN,0.0,1.48,0.0
Modeling.csv,0.05,9,KNeighborsClassifier,ENN,0.48509090909090913,1.36,0.6
Modeling.csv,0.05,0,KNeighborsClassifier,LSSm,0.3195266272189349,0.9230769230769231,0.4230769230769231
Modeling.csv,0.05,1,KNeighborsClassifier,LSSm,0.4869565217391304,1.3076923076923077,0.6153846153846154
Modeling.csv,0.05,2,KNeighborsClassifier,LSSm,0.515950604579367,1.8846153846153846,0.5384615384615384
Modeling.csv,0.05,3,KNeighborsClassifier,LSSm,0.504180602006689,1.6923076923076923,0.5
Modeling.csv,0.05,4,KNeighborsClassifier,LSSm,0.019230769230769232,2.4615384615384617,0.038461538461538464
Modeling.csv,0.05,5,KNeighborsClassifier,LSSm,0.38461538461538464,1.3076923076923077,0.5
